date,course,off_time,race_id,winner,winner_sp,VELO_pick,VELO_result,VELO_pos,VELO_sp,VELO_pnl,VELO_tier,VELO_vp,VELO_mds,VELO_place,VELO_core_support,VELO_all_tipster_support,SPOTLIGHT_pick,SPOTLIGHT_result,SPOTLIGHT_pos,SPOTLIGHT_sp,SPOTLIGHT_pnl,POSTDATA_pick,POSTDATA_result,POSTDATA_pos,POSTDATA_sp,POSTDATA_pnl,TOPSPEED_pick,TOPSPEED_result,TOPSPEED_pos,TOPSPEED_sp,TOPSPEED_pnl,RP_RATINGS_pick,RP_RATINGS_result,RP_RATINGS_pos,RP_RATINGS_sp,RP_RATINGS_pnl
2026-05-20,Ayr,2.12,rp_AYR_20260520_2.12,Jet Warrior,7.5,Classy Clarets,PLACE,3,3.0,-1.0,B,0.169,0.0537,0.6051,2,7,Wee Mary,LOSE,,,-1.0,Classy Clarets,PLACE,3,3.0,-1.0,,,,,0.0,Classy Clarets,PLACE,3,3.0,-1.0
2026-05-20,Ayr,2.42,rp_AYR_20260520_2.42,Footwork,5.0,Pearl Eye,LOSE,,,-1.0,X,0.0915,0.0623,0.5843,4,7,Pearl Eye,LOSE,,,-1.0,Pearl Eye,LOSE,,,-1.0,Pearl Eye,LOSE,,,-1.0,Pearl Eye,LOSE,,,-1.0
2026-05-20,Ayr,3.12,rp_AYR_20260520_3.12,Military Girl,3.25,Thunderstorm Katie,PLACE,2,2.1,-1.0,B,0.148,0.0575,0.6438,2,6,Thunderstorm Katie,PLACE,2,2.1,-1.0,Thunderstorm Katie,PLACE,2,2.1,-1.0,,,,,0.0,Military Girl,WIN,1,3.25,2.25
2026-05-20,Ayr,3.42,rp_AYR_20260520_3.42,Geo,13.0,Return To Unit,LOSE,,,-1.0,X,0.0945,0.0788,0.6304,1,6,Return To Unit,LOSE,,,-1.0,Hale End,PLACE,2,2.88,-1.0,Penelope's Sister,LOSE,,,-1.0,Sir Paul Ramsey,LOSE,,,-1.0
2026-05-20,Ayr,4.12,rp_AYR_20260520_4.12,Roaring Ralph,5.5,Al Muqdad,PLACE,3,5.5,-1.0,C,0.1383,0.0256,0.502,0,2,Royal Blaze,LOSE,,,-1.0,Kelpie Grey,LOSE,,,-1.0,Kelpie Grey,LOSE,,,-1.0,Kelpie Grey,LOSE,,,-1.0
2026-05-20,Ayr,4.42,rp_AYR_20260520_4.42,Native Honey,5.0,Habrdi,PLACE,3,9.5,-1.0,C,0.1152,0.0341,0.502,1,3,Great,LOSE,,,-1.0,Habrdi,PLACE,3,9.5,-1.0,Rwenearlytheredad,LOSE,,,-1.0,Tattie Bogle,PLACE,2,4.5,-1.0
2026-05-20,Ayr,5.15,rp_AYR_20260520_5.15,Glorious Kitty,5.5,Wolf Of Badenoch,PLACE,3,2.38,-1.0,B,0.1456,0.1023,0.7191,2,8,Wolf Of Badenoch,PLACE,3,2.38,-1.0,Mwafaq,PLACE,2,5.5,-1.0,,,,,0.0,Wolf Of Badenoch,PLACE,3,2.38,-1.0
2026-05-20,Ffos Las,2.50,rp_FFO_20260520_2.50,October Hill,11.0,Lion Of The Desert,LOSE,,,-1.0,B,0.1904,0.0358,0.7034,1,2,Red Rubio,PLACE,2,2.62,-1.0,Lion Of The Desert,LOSE,,,-1.0,,,,,0.0,,,,,0.0
2026-05-20,Ffos Las,3.20,rp_FFO_20260520_3.20,The Flaggy Shore,2.5,Kenobi,LOSE,,,-1.0,B,0.4014,0.0033,0.292,0,0,One Knight,LOSE,,,-1.0,One Knight,LOSE,,,-1.0,,,,,0.0,One Knight,LOSE,,,-1.0
2026-05-20,Ffos Las,3.50,rp_FFO_20260520_3.50,Green Asset,6.5,Green Asset,WIN,1,6.5,5.5,C,0.1616,0.0374,0.5421,0,3,Good Girl Rachel,LOSE,,,-1.0,Glenmuick,LOSE,,,-1.0,,,,,0.0,Glenmuick,LOSE,,,-1.0
2026-05-20,Ffos Las,4.20,rp_FFO_20260520_4.20,Loki's Mischief,2.75,Loki'S Mischief,WIN,1,2.75,1.75,B,0.3417,0.1277,0.9325,3,9,Loki's Mischief,WIN,1,2.75,1.75,Jack's Jury,LOSE,,,-1.0,Loki's Mischief,WIN,1,2.75,1.75,Loki's Mischief,WIN,1,2.75,1.75
2026-05-20,Ffos Las,4.50,rp_FFO_20260520_4.50,Lynsey Larue,10.0,Bridget Mary,LOSE,,,-1.0,B,0.2965,0.1507,0.8471,2,9,Bridget Mary,LOSE,,,-1.0,O'Grady's Hill,LOSE,,,-1.0,Shesupincourt,LOSE,,,-1.0,Bridget Mary,LOSE,,,-1.0
2026-05-20,Ffos Las,5.22,rp_FFO_20260520_5.22,Kates Choice,5.0,Barafundle Bay,LOSE,,,-1.0,C,0.1973,0.0254,0.4866,0,0,Forest Spirit,PLACE,2,3.75,-1.0,Forest Spirit,PLACE,2,3.75,-1.0,,,,,0.0,Mystical Mabel,LOSE,,,-1.0
2026-05-20,Gowran Park,5.10,rp_GOW_20260520_5.10,Gloriously Glam,5.5,Independent Expert,LOSE,,,-1.0,B,0.2012,0.0653,0.434,1,1,Independent Expert,LOSE,,,-1.0,Gloriously Glam,WIN,1,5.5,4.5,Expert,LOSE,,,-1.0,Expert,LOSE,,,-1.0
2026-05-20,Gowran Park,5.45,rp_GOW_20260520_5.45,Sanctijude,2.75,Fleur De Provence,PLACE,2,3.75,-1.0,B,0.2406,0.0986,0.4955,2,3,Fleur De Provence,PLACE,2,3.75,-1.0,Sanctijude,WIN,1,2.75,1.75,Sanctijude,WIN,1,2.75,1.75,Fleur De Provence,PLACE,2,3.75,-1.0
2026-05-20,Gowran Park,6.20,rp_GOW_20260520_6.20,Rolltight,2.1,Big Cypress,PLACE,3,5.0,-1.0,B,0.2068,0.0332,0.4341,4,4,Big Cypress,PLACE,3,5.0,-1.0,Big Cypress,PLACE,3,5.0,-1.0,Big Cypress,PLACE,3,5.0,-1.0,Big Cypress,PLACE,3,5.0,-1.0
2026-05-20,Gowran Park,6.50,rp_GOW_20260520_6.50,Ballymagreehan,5.0,Mythical Rock,LOSE,,,-1.0,C,0.1402,0.0335,0.4258,0,0,Alto Sax,LOSE,4,3.75,-1.0,Staywitherjohnny,LOSE,,,-1.0,,,,,0.0,Staywitherjohnny,LOSE,,,-1.0
2026-05-20,Gowran Park,7.20,rp_GOW_20260520_7.20,Sparan Nua,3.0,Sparan Nua,WIN,1,3.0,2.0,B,0.2717,0.1176,0.936,2,2,Sparan Nua,WIN,1,3.0,2.0,Lady Mairen,LOSE,,,-1.0,,,,,0.0,Sparan Nua,WIN,1,3.0,2.0
2026-05-20,Gowran Park,7.50,rp_GOW_20260520_7.50,Earthsong,5.5,Sonic Invader,PLACE,3,9.0,-1.0,C,0.1988,0.0226,0.384,0,0,Celtic Druid,LOSE,,,-1.0,Whats New,LOSE,,,-1.0,,,,,0.0,Master Sydney,LOSE,,,-1.0
2026-05-20,Gowran Park,8.20,,,,Jurality,UNMATCHED,,,0.0,C,0.1709,0.0242,0.4031,0,0,Mephisto,UNMATCHED,,,0.0,Mephisto,UNMATCHED,,,0.0,,,,,0.0,Mephisto,UNMATCHED,,,0.0
2026-05-20,Warwick,2.30,rp_WAR_20260520_2.30,Rebel Tribesman,1.33,Rebel Tribesman,WIN,1,1.33,0.33,B,0.1594,0.174,0.8128,3,9,Rebel Tribesman,WIN,1,1.33,0.33,Rebel Tribesman,WIN,1,1.33,0.33,,,,,0.0,Rebel Tribesman,WIN,1,1.33,0.33
2026-05-20,Warwick,3.00,rp_WAR_20260520_3.00,Yes And Yes,5.0,Tom Desjy,PLACE,2,1.8,-1.0,B,0.1959,0.1291,0.7991,2,8,Tom Desjy,PLACE,2,1.8,-1.0,Edgewell,LOSE,,,-1.0,,,,,0.0,Tom Desjy,PLACE,2,1.8,-1.0
2026-05-20,Warwick,3.30,rp_WAR_20260520_3.30,Rangatira Jack,3.25,Full Force Gale,LOSE,,,-1.0,A,0.337,0.1963,0.966,2,10,Full Force Gale,LOSE,,,-1.0,Jack Doyen,LOSE,,,-1.0,Rangatira Jack,WIN,1,3.25,2.25,Full Force Gale,LOSE,,,-1.0
2026-05-20,Warwick,4.00,rp_WAR_20260520_4.00,Il Va De Soi,4.0,Crest Of Stars,LOSE,,,-1.0,B,0.2275,0.0575,0.7071,0,1,Jimmy Hurdstrom,LOSE,,,-1.0,Il Va De Soi,WIN,1,4.0,3.0,King Of The Road,LOSE,,,-1.0,Il Va De Soi,WIN,1,4.0,3.0
2026-05-20,Warwick,4.30,rp_WAR_20260520_4.30,Allibaba,4.0,Allibaba,WIN,1,4.0,3.0,B,0.1854,0.1291,0.8064,2,6,Allibaba,WIN,1,4.0,3.0,Louie The Legend,LOSE,,,-1.0,,,,,0.0,Allibaba,WIN,1,4.0,3.0
2026-05-20,Warwick,5.00,rp_WAR_20260520_5.00,Brendas Asking,5.5,Mojito Des Mottes,LOSE,,,-1.0,B,0.1321,0.0568,0.6051,1,8,Mojito Des Mottes,LOSE,,,-1.0,High Fibre,LOSE,,,-1.0,Kingston Sunflower,LOSE,,,-1.0,Brendas Asking,WIN,1,5.5,4.5
2026-05-20,Yarmouth,5.35,rp_YAR_20260520_5.35,Havana Lightning,4.0,Havana Sprite,PLACE,2,1.67,-1.0,A,0.3421,0.1231,0.6042,3,10,Havana Sprite,PLACE,2,1.67,-1.0,Sprite,PLACE,2,1.67,-1.0,Havana Sprite,PLACE,2,1.67,-1.0,Havana Sprite,PLACE,2,1.67,-1.0
2026-05-20,Yarmouth,6.10,rp_YAR_20260520_6.10,Peaceful Warrior,6.5,Rogue Imperial,LOSE,,,-1.0,B,0.1892,0.0537,0.3398,0,6,Peaceful Warrior,WIN,1,6.5,5.5,Conciliate,LOSE,,,-1.0,,,,,0.0,,,,,0.0
2026-05-20,Yarmouth,6.40,rp_YAR_20260520_6.40,Jack Sparowe,10.0,Goldie Trickett,LOSE,,,-1.0,C,0.1655,0.0356,0.5192,0,3,Law Supreme,LOSE,,,-1.0,Jack Sparowe,WIN,1,10.0,9.0,,,,,0.0,Jack Sparowe,WIN,1,10.0,9.0
2026-05-20,Yarmouth,7.10,rp_YAR_20260520_7.10,Iwantmytimewithyou,2.62,Iwantmytimewithyou,WIN,1,2.62,1.62,B,0.251,0.0768,0.8626,0,3,Golden Garden,LOSE,,,-1.0,Betelgeuse,LOSE,,,-1.0,,,,,0.0,Betelgeuse,LOSE,,,-1.0
2026-05-20,Yarmouth,7.40,rp_YAR_20260520_7.40,Tilani,3.12,Tilani,WIN,1,3.12,2.12,B,0.1952,0.0575,0.6438,2,6,Tilani,WIN,1,3.12,2.12,Timely Affair,PLACE,3,8.5,-1.0,,,,,0.0,Tilani,WIN,1,3.12,2.12
2026-05-20,Yarmouth,8.10,rp_YAR_20260520_8.10,Berry Clever,3.25,Tennessee Gold,LOSE,,,-1.0,B,0.4361,0.0132,0.3473,1,2,Rogue Allegiance,PLACE,2,6.0,-1.0,Berry Clever,WIN,1,3.25,2.25,Ziggy's Condor,LOSE,,,-1.0,Tennessee Gold,LOSE,,,-1.0
2026-05-21,Catterick,2.10,rp_CAT_20260521_2.10,The Tunguska Event,4.33,Hallandale Beach,LOSE,,,-1.0,B,0.2546,0.0449,0.767,0,1,Yachtsman,LOSE,,,-1.0,The Tunguska Event,WIN,1,4.33,3.33,,,,,0.0,Tunguska Event,WIN,1,4.33,3.33
2026-05-21,Catterick,2.40,rp_CAT_20260521_2.40,Rouane,1.44,Rouane,WIN,1,1.44,0.44,A,0.5089,0.194,0.8183,2,11,Rouane,WIN,1,1.44,0.44,Rouane,WIN,1,1.44,0.44,,,,,0.0,,,,,0.0
2026-05-21,Catterick,3.10,rp_CAT_20260521_3.10,Evocative Spark,5.0,Safari Dream,LOSE,,,-1.0,B,0.1395,0.0797,0.6941,1,8,Safari Dream,LOSE,,,-1.0,Moostar,PLACE,2,6.5,-1.0,Ingleby Archie,LOSE,,,-1.0,Crocodile Power,LOSE,,,-1.0
2026-05-21,Catterick,3.40,rp_CAT_20260521_3.40,Analogical,3.5,Made All,LOSE,,,-1.0,B,0.306,0.0242,0.7278,0,1,Nightsinwhitesatin,LOSE,,,-1.0,Nightsinwhitesatin,LOSE,,,-1.0,Percy's Daydream,LOSE,,,-1.0,Nightsinwhitesatin,LOSE,,,-1.0
2026-05-21,Catterick,4.15,rp_CAT_20260521_4.15,Lope Y Linda,10.0,Hood Wink,LOSE,,,-1.0,C,0.17,0.0335,0.5356,2,4,Musical Soldier,LOSE,,,-1.0,Hood Wink,LOSE,,,-1.0,,,,,0.0,Hood Wink,LOSE,,,-1.0
2026-05-21,Catterick,4.50,rp_CAT_20260521_4.50,Filey Beach,2.2,Filey Beach,WIN,1,2.2,1.2,B,0.1734,0.0623,0.5748,3,12,Filey Beach,WIN,1,2.2,1.2,Filey Beach,WIN,1,2.2,1.2,,,,,0.0,Filey Beach,WIN,1,2.2,1.2
2026-05-21,Catterick,5.27,rp_CAT_20260521_5.27,Velvet Rhythm,2.0,Velvet Rhythm,WIN,1,2.0,1.0,B,0.2272,0.1291,0.8064,2,7,Velvet Rhythm,WIN,1,2.0,1.0,Homestrait,PLACE,2,8.0,-1.0,,,,,0.0,Velvet Rhythm,WIN,1,2.0,1.0
2026-05-21,Chepstow,5.30,rp_CHP_20260521_5.30,My A'ali Baba,15.0,Green Titan,LOSE,,,-1.0,X,0.109,0.0392,0.2434,1,6,Issy's Gift,LOSE,,,-1.0,Green Titan,LOSE,,,-1.0,,,,,0.0,,,,,0.0
2026-05-21,Chepstow,6.05,rp_CHP_20260521_6.05,Betsen,4.0,Em Four,LOSE,,,-1.0,B,0.1765,0.0601,0.7399,2,11,Marching Mac,LOSE,,,-1.0,So Smart,LOSE,,,-1.0,Em Four,LOSE,,,-1.0,Em Four,LOSE,,,-1.0
2026-05-21,Chepstow,6.40,rp_CHP_20260521_6.40,My Mate Mackley,13.0,Boston Max,WIN,1,2.38,1.38,B,0.3315,0.1173,0.9077,3,9,Boston Max,WIN,1,2.38,1.38,Boston Max,WIN,1,2.38,1.38,,,,,0.0,Boston Max,WIN,1,2.38,1.38
2026-05-21,Chepstow,7.10,rp_CHP_20260521_7.10,Dapper Gee Gee,3.5,Opening Bat,LOSE,,,-1.0,B,0.1121,0.0788,0.6379,0,1,Romanovich,LOSE,,,-1.0,Romanovich,LOSE,,,-1.0,,,,,0.0,Romanovich,LOSE,,,-1.0
2026-05-21,Chepstow,7.40,rp_CHP_20260521_7.40,Autumn Angel,5.5,Dragon God,LOSE,,,-1.0,C,0.1286,0.0239,0.4298,0,4,Dancing With Drums,PLACE,3,5.5,-1.0,Autumn Angel,WIN,1,5.5,4.5,,,,,0.0,Dancing With Drums,PLACE,3,5.5,-1.0
