date,course,off_time,race_id,winner,winner_sp,VELO_pick,VELO_result,VELO_pos,VELO_sp,VELO_pnl,VELO_tier,VELO_vp,VELO_mds,VELO_imp,VELO_place,VELO_cashrun_class,VELO_cashrun_score,VELO_rp_core_support_count,VELO_all_tipster_support_count,SPOTLIGHT_pick,SPOTLIGHT_result,SPOTLIGHT_pos,SPOTLIGHT_pnl,POSTDATA_pick,POSTDATA_result,POSTDATA_pos,POSTDATA_pnl,TOPSPEED_pick,TOPSPEED_result,TOPSPEED_pos,TOPSPEED_pnl,RP_RATINGS_pick,RP_RATINGS_result,RP_RATINGS_pos,RP_RATINGS_pnl,core_consensus_pick_count
2026-05-06,Kempton (AW),9:00,rac_11931855,Dancing With Drums (IRE),5.5,Respectable Jack,LOSE,5,2.88,-1.0,C,0.1618,0.0131,0.0212,0.5819,,,0,0,Elvetham,PLACE,3,-1.0,Hint Of The Jungle,PLACE,2,-1.0,,,,0.0,Hint Of The Jungle,PLACE,2,-1.0,2
2026-05-06,Newton Abbot,1:45,rac_11927032,Somespring Special (IRE),4.5,Somespring Special,WIN,1,4.5,3.5,B,0.2958,0.0302,0.0855,0.7566,,,0,0,Etalon,PLACE,3,-1.0,Western General,PLACE,2,-1.0,Etalon,PLACE,3,-1.0,Western General,PLACE,2,-1.0,2
2026-05-06,Newton Abbot,2:15,rac_11927071,Outmaster (GB),1.2,Name Me Nicely,UNMATCHED,,,0.0,A,0.4395,0.3458,0.3646,0.9794,,,4,8,Name Me Nicely,UNMATCHED,,0.0,Name Me Nicely,UNMATCHED,,0.0,Name Me Nicely,UNMATCHED,,0.0,Name Me Nicely,UNMATCHED,,0.0,4
2026-05-06,Newton Abbot,2:45,rac_11927084,Rickety Bridge (FR),7.5,Astronomic View,PU,PU,10.0,-1.0,C,0.2884,0.0205,0.0308,0.7297,,,0,0,Storminhome,PLACE,3,-1.0,Dyno Dave,PLACE,2,-1.0,Storminhome,PLACE,3,-1.0,Storminhome,PLACE,3,-1.0,3
2026-05-06,Newton Abbot,3:15,rac_11927045,Cobbler's Boy (IRE),1.83,Northern Air,UNMATCHED,,,0.0,B,0.3183,0.0234,0.0282,0.7494,,,0,3,Gower Prince,PLACE,2,-1.0,Cobbler's Boy,WIN,1,0.8300000000000001,Lightning Flash,PLACE,3,-1.0,Lightning Flash,PLACE,3,-1.0,2
2026-05-06,Newton Abbot,3:50,rac_11927097,Belle Le Grand (GB),2.0,Reel Orange,PLACE,2,4.5,-1.0,A,0.3283,0.0678,0.0887,0.6771,,,1,8,Reel Orange,PLACE,2,-1.0,Belle Le Grand,WIN,1,1.0,,,,0.0,Belle Le Grand,WIN,1,1.0,2
2026-05-06,Newton Abbot,4:20,rac_11927058,Supreme Yeats (IRE),4.0,Juggernaut,UNMATCHED,,,0.0,C,0.1922,0.0193,0.0207,0.3085,,,0,4,Striking A Pose,LOSE,4,-1.0,Striking A Pose,LOSE,4,-1.0,Supreme Yeats,WIN,1,3.0,Striking A Pose,LOSE,4,-1.0,3
2026-05-07,Chester,1:30,rac_11928943,Roman Dragon (GB),5.0,Roach Power,LOSE,9,41.0,-1.0,X,0.1146,0.0048,0.0466,0.3104,SUPPRESS,15.0,0,0,Seven Questions,LOSE,4,-1.0,Dapper Valley,UNMATCHED,,0.0,Vintage Clarets,LOSE,7,-1.0,Canon's House,LOSE,5,-1.0,1
2026-05-07,Chester,2:05,rac_11928969,Donegal Rose (IRE),3.25,Caturra Lights,PLACE,3,7.0,-1.0,B,0.2985,0.1099,0.2078,0.4243,SUPPRESS,5.0,1,3,Donegal Rose,WIN,1,2.25,Caturra Lights,PLACE,3,-1.0,,,,0.0,,,,0.0,1
2026-05-07,Chester,2:35,rac_11928930,Constitution River (FR),1.22,Constitution River,WIN,1,1.22,0.21999999999999997,A,0.4399,0.3502,0.1214,0.9918,SUPPRESS,0.0,1,9,Morshdi,UNMATCHED,,0.0,Morshdi,UNMATCHED,,0.0,Shayem,LOSE,4,-1.0,Constitution River,WIN,1,0.21999999999999997,2
2026-05-07,Chester,3:05,rac_11928917,Jan Brueghel (IRE),1.57,Jan Brueghel,WIN,1,1.57,0.5700000000000001,B,0.2095,0.1185,0.0609,0.9714,SUPPRESS,15.0,2,9,Rahiebb,UNMATCHED,,0.0,Jan Brueghel,WIN,1,0.5700000000000001,Rahiebb,UNMATCHED,,0.0,Jan Brueghel,WIN,1,0.5700000000000001,2
2026-05-07,Chester,3:40,rac_11928956,McMurray (IRE),2.62,I'm Just Ken,LOSE,11,51.0,-1.0,B,0.1506,0.0134,0.1385,0.4673,SUPPRESS,0.0,0,0,King Of Thunder,LOSE,6,-1.0,Strength Of Spirit,LOSE,8,-1.0,Monarch's Gold,PLACE,2,-1.0,Strength Of Spirit,LOSE,8,-1.0,2
2026-05-07,Chester,4:10,rac_11928982,Let's Dream (GB),4.5,Jupiter Ammon,LOSE,9,2.5,-1.0,C,0.1248,0.0296,0.0385,0.4425,SUPPRESS,23.0,1,5,Let's Dream,WIN,1,3.5,Jupiter Ammon,LOSE,9,-1.0,Dante's Lad,UNMATCHED,,0.0,Seagolazo,LOSE,6,-1.0,1
2026-05-07,Chester,4:45,rac_11928995,Magnetude (GB),13.0,Magnetude,WIN,1,13.0,12.0,C,0.1606,0.013,0.0501,0.47,SUPPRESS,13.0,1,1,Moment Of Light,LOSE,4,-1.0,Magnetude,WIN,1,12.0,High Storm,UNMATCHED,,0.0,Galilean Quality,PLACE,3,-1.0,1
2026-05-07,Huntingdon,1:15,rac_11927110,Loriko (FR),1.8,Loriko,WIN,1,1.8,0.8,A,0.7269,0.4265,0.0549,0.9987,SUPPRESS,10.0,3,8,Katarcice,PLACE,2,-1.0,Loriko,WIN,1,0.8,Loriko,WIN,1,0.8,Loriko,WIN,1,0.8,3
2026-05-07,Huntingdon,1:45,rac_11927123,Hurricane Bay (GB),7.5,Big Boy Barney,PLACE,3,6.0,-1.0,A,0.3553,0.0332,0.0761,0.7118,SUPPRESS,18.0,2,5,William Cody,LOSE,4,-1.0,Big Boy Barney,PLACE,3,-1.0,Hurricane Bay,WIN,1,6.5,Big Boy Barney,PLACE,3,-1.0,2
2026-05-07,Huntingdon,2:15,rac_11927149,Catwalk Girl (IRE),4.5,Another Day Out,F,F,1.91,-1.0,B,0.3618,0.0943,0.0123,0.9133,WEAK_SIGNAL,37.0,4,11,Another Day Out,F,F,-1.0,Another Day Out,F,F,-1.0,Another Day Out,F,F,-1.0,Another Day Out,F,F,-1.0,4
2026-05-07,Huntingdon,2:45,rac_11927136,Mermaids Cave (IRE),3.25,Mermaids Cave,WIN,1,3.25,2.25,A,0.3863,0.0519,0.0349,0.8806,SUPPRESS,31.0,3,4,Mary,PLACE,2,-1.0,Mermaids Cave,WIN,1,2.25,Mermaids Cave,WIN,1,2.25,Mermaids Cave,WIN,1,2.25,3
2026-05-07,Huntingdon,3:15,rac_11927162,Braganza Bay (GB),5.5,Braganza Bay,WIN,1,5.5,4.5,A,0.5074,0.0624,0.14,0.8919,WEAK_SIGNAL,49.0,1,3,Greedy Smith,LOSE,4,-1.0,Raby Mere,PLACE,2,-1.0,,,,0.0,Braganza Bay,WIN,1,4.5,1
2026-05-07,Huntingdon,3:50,rac_11927175,St Julie (IRE),2.0,St Julie,WIN,1,2.0,1.0,B,0.2731,0.0621,0.0852,0.4968,SUPPRESS,0.0,1,5,St Julie,WIN,1,1.0,St Zoe,UNMATCHED,,0.0,,,,0.0,Meli Melo d'Angos,UNMATCHED,,0.0,1
2026-05-07,Redcar,4:40,rac_11929190,Song Of The Clouds (IRE),1.5,Mehmas Champion,LOSE,6,8.0,-1.0,B,0.234,0.1785,0.3606,0.6308,SUPPRESS,5.0,1,1,Song Of The,WIN,1,0.5,Mehmas Champion,LOSE,6,-1.0,,,,0.0,,,,0.0,1
2026-05-07,Redcar,5:15,rac_11929229,One Of Our Own (GB),4.33,Mister Sky Blue,PLACE,2,5.0,-1.0,B,0.1349,0.0179,0.0097,0.2658,WEAK_SIGNAL,44.0,0,0,Clouds Due Respect,LOSE,5,-1.0,One Of Our Own,WIN,1,3.33,,,,0.0,Due Respect,LOSE,5,-1.0,1
2026-05-07,Redcar,5:50,rac_11956646,Run This Way (GB),7.5,Run This Way,WIN,1,7.5,6.5,B,0.1361,0.0131,0.0142,0.4098,WEAK_SIGNAL,41.0,0,0,Barmyblade,LOSE,6,-1.0,A Lady Forever,LOSE,8,-1.0,,,,0.0,Stormy Pearl,LOSE,5,-1.0,1
2026-05-07,Redcar,6:20,rac_11929203,Tupero (GB),3.5,Coverbridge,LOSE,5,151.0,-1.0,B,0.2656,0.0239,0.0798,0.9913,SUPPRESS,22.0,0,0,Grazeon Sunshine,LOSE,6,-1.0,Kitsune Power,LOSE,4,-1.0,,,,0.0,Tupero,WIN,1,2.5,1
2026-05-07,Redcar,6:50,rac_11929216,Lord Capulet (IRE),3.25,Mayo County,PLACE,3,7.0,-1.0,B,0.1727,0.0143,0.0564,0.803,SUPPRESS,31.0,1,1,Looks Fantastic,LOSE,6,-1.0,Mayo County,PLACE,3,-1.0,Tropez Power,LOSE,8,-1.0,Vince Le Prince,LOSE,7,-1.0,1
2026-05-07,Redcar,7:20,rac_11929177,Rainbow Nebula (FR),7.5,Two B Tanned,LOSE,8,8.5,-1.0,B,0.2153,0.0314,0.1011,0.8177,SUPPRESS,31.0,4,10,Two B Tanned,LOSE,8,-1.0,Two B Tanned,LOSE,8,-1.0,Two B Tanned,LOSE,8,-1.0,Two B Tanned,LOSE,8,-1.0,4
2026-05-07,Redcar,7:50,rac_11929242,Mohmentous (GB),1.91,Mohmentous,WIN,1,1.91,0.9099999999999999,B,0.2288,0.0945,0.0613,0.4897,SUPPRESS,12.0,3,11,Mohmentous,WIN,1,0.9099999999999999,Mohmentous,WIN,1,0.9099999999999999,,,,0.0,Mohmentous,WIN,1,0.9099999999999999,3
2026-05-07,Redcar,8:20,rac_11929255,Auspicious (GB),17.0,Woody Y Fernandez,LOSE,6,8.5,-1.0,C,0.1144,0.0097,0.0288,0.1759,SUPPRESS,10.0,1,5,Monk's Hill,LOSE,9,-1.0,Long Shot,LOSE,8,-1.0,,,,0.0,Woody Y Fernandez,LOSE,6,-1.0,1
2026-05-07,Southwell (AW),6:00,rac_11937965,Lauralynn (IRE),3.5,Lauralynn,WIN,1,3.5,2.5,A,0.4417,0.2952,0.2353,0.942,SUPPRESS,5.0,1,7,Dreamlover,LOSE,4,-1.0,Lauralynn,WIN,1,2.5,,,,0.0,,,,0.0,1
2026-05-07,Southwell (AW),6:30,rac_11937952,Military Leader (GB),9.0,Military Leader,WIN,1,9.0,8.0,B,0.1845,0.0204,0.081,0.8213,SUPPRESS,21.0,0,1,Holly Mist,LOSE,5,-1.0,Avatar Jet,PLACE,3,-1.0,,,,0.0,Holly Mist,LOSE,5,-1.0,2
2026-05-07,Southwell (AW),7:00,rac_11937926,Sporting Light (IRE),3.75,Northern Tempest,LOSE,8,21.0,-1.0,B,0.2243,0.0165,0.0599,0.5773,SUPPRESS,15.0,1,3,Real Jack,LOSE,5,-1.0,Fanjove,LOSE,6,-1.0,,,,0.0,Northern Tempest,LOSE,8,-1.0,1
2026-05-07,Southwell (AW),7:30,rac_11937991,Reputation (IRE),9.0,Fort Augustus,LOSE,6,4.0,-1.0,B,0.1653,0.0435,0.0331,0.4895,WEAK_SIGNAL,38.0,0,6,Jet Warrior,PLACE,3,-1.0,Starshot,LOSE,4,-1.0,,,,0.0,Jet Warrior,PLACE,3,-1.0,2
2026-05-07,Southwell (AW),8:00,rac_11956659,Mickey Mongoose (GB),12.0,Autumn Angel,LOSE,7,12.0,-1.0,C,0.1305,0.0137,0.0165,0.4707,SUPPRESS,20.0,0,1,Shades Of May,LOSE,8,-1.0,Tickets,LOSE,5,-1.0,,,,0.0,Shades Of May,LOSE,8,-1.0,2
2026-05-07,Southwell (AW),8:30,rac_11937978,Jumeirah Sands (GB),2.1,Enchant,UNMATCHED,,,0.0,B,0.3061,0.293,0.251,0.9037,SUPPRESS,0.0,1,9,Jumeirah Sands,WIN,1,1.1,Bintaryana,PLACE,2,-1.0,,,,0.0,Enchant,UNMATCHED,,0.0,1
2026-05-07,Southwell (AW),9:00,rac_11937939,Charlie Darling (FR),4.5,Zooks,LOSE,7,19.0,-1.0,B,0.1956,0.0167,0.0591,0.8423,WEAK_SIGNAL,51.0,0,0,Charlie Darling,WIN,1,3.5,Captain Robert,PLACE,3,-1.0,,,,0.0,Captain Robert,PLACE,3,-1.0,2
2026-05-07,Windsor,2:25,rac_11942372,Cameley Days (GB),6.0,Under Curfew,LOSE,6,15.0,-1.0,X,0.1078,0.0039,0.0036,0.2095,SUPPRESS,31.0,0,1,Dragon God,PLACE,3,-1.0,Hello Luna,LOSE,7,-1.0,Honour Your Dreams,LOSE,4,-1.0,Hello Luna,LOSE,7,-1.0,2
2026-05-07,Windsor,2:55,rac_11942385,Jazl (IRE),2.38,Jazl,WIN,1,2.38,1.38,A,0.4154,0.2113,0.0773,0.8743,SUPPRESS,3.0,0,7,Starryfield,PLACE,3,-1.0,Starryfield,PLACE,3,-1.0,,,,0.0,,,,0.0,2
2026-05-07,Windsor,3:27,rac_11942398,Zarathos (IRE),3.75,Narmar,LOSE,11,15.0,-1.0,X,0.1072,0.0027,0.0071,0.0997,WEAK_SIGNAL,46.0,2,2,Narmar,LOSE,11,-1.0,Under The Sun,PLACE,3,-1.0,Narmar,LOSE,11,-1.0,Great Blasket,LOSE,4,-1.0,2
2026-05-07,Windsor,4:00,rac_11942411,Moon Over The Sea (GB),3.5,Stintino Sunset,LOSE,4,6.0,-1.0,B,0.2153,0.038,0.1388,0.7835,WEAK_SIGNAL,39.0,0,2,Moon Over The Sea,WIN,1,2.5,Moon Over The Sea,WIN,1,2.5,,,,0.0,Moon Over The Sea,WIN,1,2.5,3
2026-05-07,Windsor,4:35,rac_11942424,Bizou (GB),3.25,Happy Chandler,PLACE,2,2.38,-1.0,B,0.1944,0.0563,0.0111,0.6815,SUPPRESS,28.0,1,8,Beta Reader,PLACE,3,-1.0,Celebrating Ethel,LOSE,6,-1.0,,,,0.0,Happy Chandler,PLACE,2,-1.0,1
2026-05-07,Windsor,5:10,rac_11942437,Twirler (GB),6.0,Dreambird Dolly,LOSE,8,29.0,-1.0,B,0.1393,0.0042,0.019,0.6453,SUPPRESS,28.0,0,0,Twirler,WIN,1,5.0,Phoenix Moon,PLACE,2,-1.0,,,,0.0,My Mate Kev,LOSE,6,-1.0,1
2026-05-07,Wexford,5:02,rac_11954670,Wild Bill Hickok (IRE),8.5,Farfromnowhere,UNMATCHED,,,0.0,B,0.2984,0.1051,0.1696,0.603,SUPPRESS,5.0,2,3,Farfromnowhere,UNMATCHED,,0.0,Karoline Banbou,LOSE,6,-1.0,Farfromnowhere,UNMATCHED,,0.0,,,,0.0,2
2026-05-07,Wexford,5:35,rac_11954683,Butter Fingers (IRE),4.33,L'Amiral Fromentin,LOSE,6,11.0,-1.0,B,0.1689,0.0284,0.0778,0.5287,SUPPRESS,10.0,1,1,Let Him B,LOSE,12,-1.0,In The Trenches,LOSE,5,-1.0,L'Amiral Fromentin,LOSE,6,-1.0,,,,0.0,1
2026-05-07,Wexford,6:08,rac_11954696,Crowsatedappletart (IRE),11.0,Kilbrin Rocco,PLACE,2,7.5,-1.0,B,0.1967,0.0254,0.0302,0.5537,SUPPRESS,7.0,0,1,Crowsatedappletart,WIN,1,10.0,Come On The Lads,LOSE,7,-1.0,Dutch Schultz,LOSE,8,-1.0,,,,0.0,1
2026-05-07,Wexford,6:38,rac_11954709,D Art D Art (FR),8.5,Hiddenvalley Lake,PLACE,2,1.8,-1.0,B,0.2615,0.194,0.0667,0.3688,SUPPRESS,9.0,1,1,Hiddenvalley Lake,PLACE,2,-1.0,One Big Boum,LOSE,6,-1.0,,,,0.0,,,,0.0,1
2026-05-07,Wexford,7:08,rac_11954722,Muskerry Rock (IRE),13.0,Tiffiny's Girl,PLACE,2,5.0,-1.0,B,0.2046,0.0782,0.0638,0.2096,SUPPRESS,9.0,2,2,Tiffiny's Girl,PLACE,2,-1.0,Tiffiny's Girl,PLACE,2,-1.0,,,,0.0,,,,0.0,2
2026-05-07,Wexford,7:38,rac_11954735,Wilton Mills Trier (IRE),4.33,Wilton Mills Trier,WIN,1,4.33,3.33,B,0.2425,0.1497,0.1817,0.2823,SUPPRESS,11.0,2,3,Wilton Mills Trier,WIN,1,3.33,Wilton Mills Trier,WIN,1,3.33,,,,0.0,,,,0.0,2
2026-05-07,Wexford,8:08,rac_11954748,Fortysixnchange (IRE),4.33,Majestic Horizon,PLACE,3,5.0,-1.0,C,0.1545,0.1023,0.0837,0.0317,SUPPRESS,0.0,1,1,Majestic Horizon,PLACE,3,-1.0,Fortysixnchange,WIN,1,3.33,,,,0.0,,,,0.0,1
2026-05-10,Cork,1:30,rac_11957140,Arouet (FR),1.67,Manoir De Mirande,UNMATCHED,,,0.0,B,0.2836,0.4289,0.6026,0.8317,SUPPRESS,11.0,2,2,Arouet,WIN,1,0.6699999999999999,Manoir De Mirande,UNMATCHED,,0.0,Manoir De Mirande,UNMATCHED,,0.0,De Mirande,UNMATCHED,,0.0,2
2026-05-10,Cork,2:05,rac_11957153,Moon Mission (GB),13.0,Crohan Lady,LOSE,4,11.0,-1.0,B,0.1801,0.0117,0.0399,0.3015,SUPPRESS,11.0,0,0,Thisain'tthat,LOSE,7,-1.0,Royal Soldier,PU,PU,-1.0,Big Dispute,PLACE,3,-1.0,Le Roi Du Livet,PLACE,2,-1.0,1
2026-05-10,Cork,2:40,rac_11957166,Local News (IRE),101.0,Divaboriva,PLACE,2,1.57,-1.0,B,0.2063,0.1981,0.3782,0.9254,SUPPRESS,12.0,3,3,Divaboriva,PLACE,2,-1.0,Divaboriva,PLACE,2,-1.0,Hillhead Runner,LOSE,9,-1.0,Divaboriva,PLACE,2,-1.0,3
2026-05-10,Cork,3:15,rac_11957179,Somersby Roost (IRE),12.0,Bearami Creek,LOSE,10,17.0,-1.0,X,0.1119,0.0313,0.1401,0.2242,SUPPRESS,19.0,1,1,Silent Selector,LOSE,8,-1.0,Lady Bluebird,PLACE,2,-1.0,Bearami Creek,LOSE,10,-1.0,Minority Interest,LOSE,12,-1.0,1
