model,scope,scope_value,log_loss,brier,top1,top3,ece,market_rank_lift,n_races,n_runners
ratings_plus_doctrine_residual_over_market,jurisdiction,HK,1.7130496041152503,0.06208859875390253,0.4482758620689655,0.7931034482758621,0.039718953657252636,0.9655172413793104,29,319
ratings_plus_doctrine_residual_over_market,jurisdiction,JPN,1.6746822148451002,0.06616620111635238,0.0,1.0,0.11230647810178354,0.0,1,12
ratings_plus_doctrine_residual_over_market,year,2023,1.332758746161501,0.07663336069739322,0.46808510638297873,0.8936170212765957,0.052404115043020186,0.6595744680851063,47,397
ratings_plus_doctrine_residual_over_market,year,2024,1.3955681367904684,0.07464535945991328,0.4634146341463415,0.8536585365853658,0.0311434460100959,1.0731707317073171,41,373
ratings_plus_doctrine_residual_over_market,year,2025,1.5616404063004343,0.06955097392725333,0.5769230769230769,0.8461538461538461,0.04271026573853971,0.6923076923076923,26,244
hk_diagnostic,split,train,0.7019628655045094,0.027993386346879694,0.8012820512820513,0.9599358974358975,0.028095207982079918,2.016025641025641,624,7388
hk_diagnostic,split,validation,0.9633524228260124,0.040495837965729316,0.6436170212765957,0.9308510638297872,0.023603849740613952,2.1595744680851063,376,4483
hk_diagnostic,split,test,1.2184885601798774,0.051501770266544566,0.5862068965517241,0.7586206896551724,0.0225892604530151,1.1724137931034482,29,319
hk_diagnostic,jurisdiction,HK,1.2184885601798774,0.051501770266544566,0.5862068965517241,0.7586206896551724,0.0225892604530151,1.1724137931034482,29,319
hk_diagnostic,year,2023,1.3631041792236238,0.06513556323160284,0.5,0.7857142857142857,0.0484670222171395,1.0714285714285714,14,148
hk_diagnostic,year,2024,0.777841452696832,0.026844337386052953,0.75,0.875,0.03770988232267996,2.125,8,96
hk_diagnostic,year,2025,1.4328540163587216,0.056159266235858825,0.5714285714285714,0.5714285714285714,0.04622177423655697,0.2857142857142857,7,75
fr_diagnostic,split,train,1.3054210296871172,0.06021453550597213,0.6297169811320755,0.8844339622641509,0.05361582419710696,1.4245283018867925,424,4197
fr_diagnostic,split,validation,1.4003722726763517,0.07443272236744479,0.5106382978723404,0.8368794326241135,0.04345625491820584,0.9361702127659575,141,1238
fr_diagnostic,split,test,1.4254624588668463,0.08223997725246082,0.4523809523809524,0.8095238095238095,0.051920481782044614,0.40476190476190477,84,683
fr_diagnostic,jurisdiction,FR,1.4254624588668463,0.08223997725246082,0.4523809523809524,0.8095238095238095,0.051920481782044614,0.40476190476190477,84,683
fr_diagnostic,year,2023,1.3580314228140837,0.08612972397190646,0.5151515151515151,0.7878787878787878,0.06547344929745806,0.30303030303030304,33,249
fr_diagnostic,year,2024,1.5267168452120234,0.08454938742148571,0.40625,0.78125,0.04472593016265561,0.625,32,265
fr_diagnostic,year,2025,1.3720458181666095,0.07288766584456992,0.42105263157894735,0.8947368421052632,0.04623979995190592,0.21052631578947367,19,169
