race_id,course,off_time,model,lane,predicted_horse,horse_id,prediction_rank,prediction_score,decision_tier,product,final_sp,finishing_position,non_runner,source_artifact,generated_at,prediction_run_id,timing_safety,source_row_sha256
923090,Catterick,4.10,NO_RPR_GENUINE,sqpe_no_rpr_shadow,Haaderr,7852210,1,0.2517,,,2.2,4,False,"runner_snapshots (morning, immutable) sqpe_no_rpr_shadow_prob field",2026-07-15T08:46:03.598813+00:00,2026_07_15_aef63056_1784105122721,STRICT_PRE_RACE_PROVEN,129ce8e1cbc5902d8cfb9f205fcedcd553f12b7d9e6ce69e6247301e2a6e8dd9
923087,Bath,4.31,NO_RPR_GENUINE,sqpe_no_rpr_shadow,Hope Rising,5357886,1,0.1155,,,6.0,4,False,"runner_snapshots (morning, immutable) sqpe_no_rpr_shadow_prob field",2026-07-15T08:46:03.598813+00:00,2026_07_15_aef63056_1784105122721,STRICT_PRE_RACE_PROVEN,5405c9cdf261e4175caa581cc5f6e5f1ab83a6ba5792b4b3eddfae3e92381f81
923104,Yarmouth,5.00,NO_RPR_GENUINE,sqpe_no_rpr_shadow,Ambishio,7020241,1,0.2517,,,2.88,4,False,"runner_snapshots (morning, immutable) sqpe_no_rpr_shadow_prob field",2026-07-15T08:46:03.598813+00:00,2026_07_15_aef63056_1784105122721,STRICT_PRE_RACE_PROVEN,c1b6b0bae7d1e66fb40c0ac9e329fc78b91ed92ae786bdf73ad33f2c2d9b5db6
924611,Killarney,5.30,NO_RPR_GENUINE,sqpe_no_rpr_shadow,Seti One,7691585,1,0.089,,,101.0,14,False,"runner_snapshots (morning, immutable) sqpe_no_rpr_shadow_prob field",2026-07-15T08:46:03.598813+00:00,2026_07_15_aef63056_1784105122721,STRICT_PRE_RACE_PROVEN,dc86233325ea7a756663f024236f008f47a1c098ac1d3e3a759ccffd02e20c4d
923102,Yarmouth,6.40,NO_RPR_GENUINE,sqpe_no_rpr_shadow,Gorgeous Mr George,7134169,1,0.1988,,,4.5,4,False,"runner_snapshots (morning, immutable) sqpe_no_rpr_shadow_prob field",2026-07-15T08:46:03.598813+00:00,2026_07_15_aef63056_1784105122721,STRICT_PRE_RACE_PROVEN,eadb1c3916f4d70724d23154edb37769c1ec611ea5213f83c35556bf58934f37
924614,Killarney,7.00,NO_RPR_GENUINE,sqpe_no_rpr_shadow,Pivotal Attack,7780571,1,0.1056,,,4.5,4,False,"runner_snapshots (morning, immutable) sqpe_no_rpr_shadow_prob field",2026-07-15T08:46:03.598813+00:00,2026_07_15_aef63056_1784105122721,STRICT_PRE_RACE_PROVEN,6e8ea98eff2068c5a7d4c10a2c147bbab41b8545209d5eeca5fd06ac374229fa
923107,Yarmouth,7.10,NO_RPR_GENUINE,sqpe_no_rpr_shadow,Suitcase Smith,7708601,1,0.1471,,,6.5,4,False,"runner_snapshots (morning, immutable) sqpe_no_rpr_shadow_prob field",2026-07-15T08:46:03.598813+00:00,2026_07_15_aef63056_1784105122721,STRICT_PRE_RACE_PROVEN,bd0456abfb313306aafae36ffc96bb9d8eda46ffea117c6069434d441da87d5a
924616,Killarney,8.00,NO_RPR_GENUINE,sqpe_no_rpr_shadow,Vervain,6175436,1,0.0834,,,15.0,4,False,"runner_snapshots (morning, immutable) sqpe_no_rpr_shadow_prob field",2026-07-15T08:46:03.598813+00:00,2026_07_15_aef63056_1784105122721,STRICT_PRE_RACE_PROVEN,eea1e662d577236dc703ebbe7d89a91d843bfcab2a01816a016a4c6dfdd66854
923084,Bath,2.31,OLD_VELO,main,Saucy Jane,7400076,1,0.2595,C,PASS,3.75,6,False,"runner_snapshots (morning, immutable)",2026-07-15T08:46:03.598813+00:00,2026_07_15_aef63056_1784105122721,STRICT_PRE_RACE_PROVEN,2c1bea23cb8dce8853f00c511b902a6f47e41a79e8cafefafb40f2b02d88015a
923085,Bath,3.01,OLD_VELO,main,Bellatina,9051066,1,0.4706,A,VISION_ONLY,5.0,6,False,"runner_snapshots (morning, immutable)",2026-07-15T08:46:03.598813+00:00,2026_07_15_aef63056_1784105122721,STRICT_PRE_RACE_PROVEN,1c1de50aa8728d4b7794be7805fdc13374647db4f2a57d6035a3c1d9ba2f52f2
