course,off_time,race_id,runner_name,matched_passport_name,match_tier,match_confidence,passport_available,reason,source_file
BEL,8.18,BEL_8.18,Yanure,,NO_PASSPORT_FOUND,,False,best fuzzy score 0.714 below 0.90 threshold,racecard_BEL_2026-07-04.json
BEV,2.17,BEV_2.17,Autumn Jewel,,NO_PASSPORT_FOUND,,False,best fuzzy score 0.750 below 0.90 threshold,racecard_BEV_2026-07-04.json
BEV,2.17,BEV_2.17,Battle Fever,Battle Fever,EXACT_NAME_MATCH,1.0,True,case/whitespace-insensitive exact match,racecard_BEV_2026-07-04.json
BEV,2.17,BEV_2.17,Desert Move,,NO_PASSPORT_FOUND,,False,best fuzzy score 0.762 below 0.90 threshold,racecard_BEV_2026-07-04.json
BEV,2.17,BEV_2.17,Enemy Action,,NO_PASSPORT_FOUND,,False,best fuzzy score 0.720 below 0.90 threshold,racecard_BEV_2026-07-04.json
BEV,2.17,BEV_2.17,Inca Warrior,,NO_PASSPORT_FOUND,,False,best fuzzy score 0.815 below 0.90 threshold,racecard_BEV_2026-07-04.json
BEV,2.17,BEV_2.17,Nightbloom,,NO_PASSPORT_FOUND,,False,best fuzzy score 0.667 below 0.90 threshold,racecard_BEV_2026-07-04.json
BEV,2.17,BEV_2.17,Palm Reader,,NO_PASSPORT_FOUND,,False,best fuzzy score 0.667 below 0.90 threshold,racecard_BEV_2026-07-04.json
BEV,2.17,BEV_2.17,Up The Stakes,,NO_PASSPORT_FOUND,,False,best fuzzy score 0.759 below 0.90 threshold,racecard_BEV_2026-07-04.json
BEV,2.17,BEV_2.17,Viking Barbie,,NO_PASSPORT_FOUND,,False,best fuzzy score 0.696 below 0.90 threshold,racecard_BEV_2026-07-04.json
BEV,2.17,BEV_2.17,Waiting For Archie,,NO_PASSPORT_FOUND,,False,best fuzzy score 0.667 below 0.90 threshold,racecard_BEV_2026-07-04.json
BEV,2.52,BEV_2.52,Asander,,NO_PASSPORT_FOUND,,False,best fuzzy score 0.750 below 0.90 threshold,racecard_BEV_2026-07-04.json
BEV,2.52,BEV_2.52,Astral Calling,Astral Calling,EXACT_NAME_MATCH,1.0,True,case/whitespace-insensitive exact match,racecard_BEV_2026-07-04.json
BEV,2.52,BEV_2.52,Happy Love,,NO_PASSPORT_FOUND,,False,best fuzzy score 0.667 below 0.90 threshold,racecard_BEV_2026-07-04.json
BEV,2.52,BEV_2.52,High Hazard,High Hazard,EXACT_NAME_MATCH,1.0,True,case/whitespace-insensitive exact match,racecard_BEV_2026-07-04.json
BEV,2.52,BEV_2.52,Rosberg,Rosberg,EXACT_NAME_MATCH,1.0,True,case/whitespace-insensitive exact match,racecard_BEV_2026-07-04.json
BEV,2.52,BEV_2.52,Under Arrest,Under Arrest,EXACT_NAME_MATCH,1.0,True,case/whitespace-insensitive exact match,racecard_BEV_2026-07-04.json
BEV,3.24,BEV_3.24,Amantha,Amantha,EXACT_NAME_MATCH,1.0,True,case/whitespace-insensitive exact match,racecard_BEV_2026-07-04.json
BEV,3.24,BEV_3.24,Emerald Bay,Emerald Bay,EXACT_NAME_MATCH,1.0,True,case/whitespace-insensitive exact match,racecard_BEV_2026-07-04.json
BEV,3.24,BEV_3.24,Happy Humpo,Happy Humpo,EXACT_NAME_MATCH,1.0,True,case/whitespace-insensitive exact match,racecard_BEV_2026-07-04.json
BEV,3.24,BEV_3.24,Tiger In The Tree,,NO_PASSPORT_FOUND,,False,best fuzzy score 0.688 below 0.90 threshold,racecard_BEV_2026-07-04.json
BEV,4.02,BEV_4.02,Al Aasy,,NO_PASSPORT_FOUND,,False,best fuzzy score 0.800 below 0.90 threshold,racecard_BEV_2026-07-04.json
BEV,4.02,BEV_4.02,By The Book,,NO_PASSPORT_FOUND,,False,best fuzzy score 0.720 below 0.90 threshold,racecard_BEV_2026-07-04.json
BEV,4.02,BEV_4.02,Involvement,Involvement,EXACT_NAME_MATCH,1.0,True,case/whitespace-insensitive exact match,racecard_BEV_2026-07-04.json
BEV,4.02,BEV_4.02,Percy'S Daydream,Percy's Daydream,EXACT_NAME_MATCH,1.0,True,case/whitespace-insensitive exact match,racecard_BEV_2026-07-04.json
BEV,4.02,BEV_4.02,Phantom Flight,,NO_PASSPORT_FOUND,,False,best fuzzy score 0.692 below 0.90 threshold,racecard_BEV_2026-07-04.json
BEV,4.35,BEV_4.35,Alessia Fernanda,Alessia Fernanda,EXACT_NAME_MATCH,1.0,True,case/whitespace-insensitive exact match,racecard_BEV_2026-07-04.json
BEV,4.35,BEV_4.35,Cancelled,,NO_PASSPORT_FOUND,,False,best fuzzy score 0.737 below 0.90 threshold,racecard_BEV_2026-07-04.json
BEV,4.35,BEV_4.35,Come On Eibhlin,Come On Eibhlin,EXACT_NAME_MATCH,1.0,True,case/whitespace-insensitive exact match,racecard_BEV_2026-07-04.json
BEV,4.35,BEV_4.35,Lexington Express,Lexington Express,EXACT_NAME_MATCH,1.0,True,case/whitespace-insensitive exact match,racecard_BEV_2026-07-04.json
