race_id,horse_id,reason,detail
rp_FFO_20260520_3.20,rp_FFO_brenda_lady,RACE_UNRESOLVED,NO_CANDIDATE_FOUND
rp_FFO_20260520_3.50,rp_FFO_alderley_charlie,RACE_UNRESOLVED,NO_CANDIDATE_FOUND
rp_FFO_20260520_3.50,rp_FFO_glenmuick,RACE_UNRESOLVED,NO_CANDIDATE_FOUND
rp_FFO_20260520_3.50,rp_FFO_good_girl_rachel,RACE_UNRESOLVED,NO_CANDIDATE_FOUND
rp_FFO_20260520_3.50,rp_FFO_green_asset,RACE_UNRESOLVED,NO_CANDIDATE_FOUND
rp_FFO_20260520_3.50,rp_FFO_hard_stare,RACE_UNRESOLVED,NO_CANDIDATE_FOUND
rp_FFO_20260520_3.50,rp_FFO_poet's_muse,RACE_UNRESOLVED,NO_CANDIDATE_FOUND
rp_FFO_20260520_3.50,rp_FFO_blackacre,RACE_UNRESOLVED,NO_CANDIDATE_FOUND
rp_FFO_20260520_3.50,rp_FFO_crest_of_valour,RACE_UNRESOLVED,NO_CANDIDATE_FOUND
rp_FFO_20260520_4.20,rp_FFO_hell_hound,RACE_UNRESOLVED,NO_CANDIDATE_FOUND
rp_FFO_20260520_4.20,rp_FFO_jack's_jury,RACE_UNRESOLVED,NO_CANDIDATE_FOUND
rp_FFO_20260520_4.20,rp_FFO_loki's_mischief,RACE_UNRESOLVED,NO_CANDIDATE_FOUND
rp_FFO_20260520_4.20,rp_FFO_axel_bleue,RACE_UNRESOLVED,NO_CANDIDATE_FOUND
rp_FFO_20260520_4.50,rp_FFO_bridget_mary,RACE_UNRESOLVED,NO_CANDIDATE_FOUND
rp_FFO_20260520_4.50,rp_FFO_lynsey_larue,RACE_UNRESOLVED,NO_CANDIDATE_FOUND
rp_FFO_20260520_4.50,rp_FFO_o'grady's_hill,RACE_UNRESOLVED,NO_CANDIDATE_FOUND
rp_FFO_20260520_4.50,rp_FFO_miss_pearl,RACE_UNRESOLVED,NO_CANDIDATE_FOUND
rp_FFO_20260520_4.50,rp_FFO_fox_wallace,RACE_UNRESOLVED,NO_CANDIDATE_FOUND
rp_FFO_20260520_4.50,rp_FFO_just_a_memory,RACE_UNRESOLVED,NO_CANDIDATE_FOUND
rp_FFO_20260520_4.50,rp_FFO_shesupincourt,RACE_UNRESOLVED,NO_CANDIDATE_FOUND
rp_FFO_20260520_5.22,rp_FFO_barafundle_bay,RACE_UNRESOLVED,NO_CANDIDATE_FOUND
rp_FFO_20260520_5.22,rp_FFO_freddiemissmolli,RACE_UNRESOLVED,NO_CANDIDATE_FOUND
rp_FFO_20260520_5.22,rp_FFO_la_belle_argentee,RACE_UNRESOLVED,NO_CANDIDATE_FOUND
rp_FFO_20260520_5.22,rp_FFO_mystical_mabel,RACE_UNRESOLVED,NO_CANDIDATE_FOUND
rp_FFO_20260520_5.22,rp_FFO_miss_tiara,RACE_UNRESOLVED,NO_CANDIDATE_FOUND
rp_FFO_20260520_5.22,rp_FFO_forest_spirit,RACE_UNRESOLVED,NO_CANDIDATE_FOUND
rp_FFO_20260520_5.22,rp_FFO_kates_choice,RACE_UNRESOLVED,NO_CANDIDATE_FOUND
rp_FFO_20260520_5.22,rp_FFO_mya_du_clos,RACE_UNRESOLVED,NO_CANDIDATE_FOUND
rp_GOW_20260520_5.10,rp_GOW_independent_expert,RACE_UNRESOLVED,NO_CANDIDATE_FOUND
rp_GOW_20260520_5.10,rp_GOW_clonmacash,RACE_UNRESOLVED,NO_CANDIDATE_FOUND
rp_GOW_20260520_5.10,rp_GOW_venetian,RACE_UNRESOLVED,NO_CANDIDATE_FOUND
rp_GOW_20260520_5.10,rp_GOW_royal_sapphire,RACE_UNRESOLVED,NO_CANDIDATE_FOUND
