race_id,course,off_time,winner,old_velo_selected,no_rpr_selected,new_build_selected,champion_intent_selected,old_velo_timing_status,no_rpr_timing_status,new_build_timing_status,champion_intent_timing_status,favourite_won,favourite_horse,favourite_sp
924612,Killarney,6.00,Venetian Power,False,False,False,False,STRICT_PRE_RACE_PROVEN,EXCLUDED_POST_RACE_TIE_OR_UNPROVEN,AFTERNOON_PRE_RACE_PROVEN,AFTERNOON_PRE_RACE_PROVEN,False,South Dakota,1.73
923103,Yarmouth,6.10,Anchiano,False,True,False,False,STRICT_PRE_RACE_PROVEN,STRICT_PRE_RACE_PROVEN,AFTERNOON_PRE_RACE_PROVEN,AFTERNOON_PRE_RACE_PROVEN,False,War Gaming,2.25
923099,Lingfield,6.20,Fire Thunder,True,False,True,True,STRICT_PRE_RACE_PROVEN,EXCLUDED_POST_RACE_TIE_OR_UNPROVEN,AFTERNOON_PRE_RACE_PROVEN,AFTERNOON_PRE_RACE_PROVEN,True,Fire Thunder,1.25
924613,Killarney,6.30,Kalir,False,False,False,False,STRICT_PRE_RACE_PROVEN,EXCLUDED_POST_RACE_TIE_OR_UNPROVEN,AFTERNOON_PRE_RACE_PROVEN,AFTERNOON_PRE_RACE_PROVEN,False,Elusive Path,2.5
923102,Yarmouth,6.40,Tryst,False,False,False,False,STRICT_PRE_RACE_PROVEN,STRICT_PRE_RACE_PROVEN,AFTERNOON_PRE_RACE_PROVEN,AFTERNOON_PRE_RACE_PROVEN,False,Sea Suite,3.75
923100,Lingfield,6.50,Knock Three Times,False,False,False,False,STRICT_PRE_RACE_PROVEN,STRICT_PRE_RACE_PROVEN,AFTERNOON_PRE_RACE_PROVEN,AFTERNOON_PRE_RACE_PROVEN,False,Ron's Angel,2.5
924614,Killarney,7.00,Meriden,False,False,False,False,STRICT_PRE_RACE_PROVEN,STRICT_PRE_RACE_PROVEN,AFTERNOON_PRE_RACE_PROVEN,AFTERNOON_PRE_RACE_PROVEN,False,Green Carrera,3.0
923107,Yarmouth,7.10,Highland Harvey,False,False,False,True,STRICT_PRE_RACE_PROVEN,STRICT_PRE_RACE_PROVEN,AFTERNOON_PRE_RACE_PROVEN,AFTERNOON_PRE_RACE_PROVEN,True,Highland Harvey,2.2
923096,Lingfield,7.20,Desert Shadow,True,False,True,True,STRICT_PRE_RACE_PROVEN,STRICT_PRE_RACE_PROVEN,AFTERNOON_PRE_RACE_PROVEN,AFTERNOON_PRE_RACE_PROVEN,False,Classic Encounter,2.2
924615,Killarney,7.30,Bella Colombia,False,True,False,False,STRICT_PRE_RACE_PROVEN,STRICT_PRE_RACE_PROVEN,AFTERNOON_PRE_RACE_PROVEN,AFTERNOON_PRE_RACE_PROVEN,True,Bella Colombia,3.12
923106,Yarmouth,7.40,Startled Lady,False,True,False,False,STRICT_PRE_RACE_PROVEN,STRICT_PRE_RACE_PROVEN,AFTERNOON_PRE_RACE_PROVEN,AFTERNOON_PRE_RACE_PROVEN,True,Startled Lady,3.5
923101,Lingfield,7.50,Sunlit Sea,False,False,False,False,STRICT_PRE_RACE_PROVEN,STRICT_PRE_RACE_PROVEN,AFTERNOON_PRE_RACE_PROVEN,AFTERNOON_PRE_RACE_PROVEN,True,Sunlit Sea,2.25
924616,Killarney,8.00,Arch Enemy,False,False,False,False,STRICT_PRE_RACE_PROVEN,STRICT_PRE_RACE_PROVEN,AFTERNOON_PRE_RACE_PROVEN,AFTERNOON_PRE_RACE_PROVEN,True,Arch Enemy,4.0
924617,Killarney,8.30,Loyal Touch,False,True,False,False,STRICT_PRE_RACE_PROVEN,STRICT_PRE_RACE_PROVEN,AFTERNOON_PRE_RACE_PROVEN,AFTERNOON_PRE_RACE_PROVEN,False,Jurality,4.0
