race_id,course,date,off_time,reason,candidates
rp_WARWICK_20260603_8.30,Warwick,2026-06-03,8.30,NO_LOCAL_RESULT_FILE_MATCH,0
rp_WARWICK_20260603_9.00,Warwick,2026-06-03,9.00,NO_LOCAL_RESULT_FILE_MATCH,0
921988,Happy Valley,2026-06-03,11:40,NO_LOCAL_RESULT_FILE_MATCH,0
921989,Happy Valley,2026-06-03,12:10,NO_LOCAL_RESULT_FILE_MATCH,0
921990,Happy Valley,2026-06-03,12:40,NO_LOCAL_RESULT_FILE_MATCH,0
921991,Happy Valley,2026-06-03,13:10,NO_LOCAL_RESULT_FILE_MATCH,0
921992,Happy Valley,2026-06-03,13:40,NO_LOCAL_RESULT_FILE_MATCH,0
921993,Happy Valley,2026-06-03,14:10,NO_LOCAL_RESULT_FILE_MATCH,0
921994,Happy Valley,2026-06-03,14:45,NO_LOCAL_RESULT_FILE_MATCH,0
921995,Happy Valley,2026-06-03,15:15,NO_LOCAL_RESULT_FILE_MATCH,0
921996,Happy Valley,2026-06-03,15:50,NO_LOCAL_RESULT_FILE_MATCH,0
921934,Saratoga,2026-06-03,17:35,NO_LOCAL_RESULT_FILE_MATCH,0
rp_BAT_20260605_5.00,Bath,2026-06-05,5.00,NO_LOCAL_RESULT_FILE_MATCH,0
rp_BAT_20260605_5.35,Bath,2026-06-05,5.35,NO_LOCAL_RESULT_FILE_MATCH,0
rp_BAT_20260605_6.40,Bath,2026-06-05,6.40,NO_LOCAL_RESULT_FILE_MATCH,0
rp_BAT_20260605_6.05,Bath,2026-06-05,6.05,NO_LOCAL_RESULT_FILE_MATCH,0
rp_BAT_20260605_7.15,Bath,2026-06-05,7.15,NO_LOCAL_RESULT_FILE_MATCH,0
rp_BAT_20260605_8.25,Bath,2026-06-05,8.25,NO_LOCAL_RESULT_FILE_MATCH,0
rp_BAT_20260605_9.00,Bath,2026-06-05,9.00,NO_LOCAL_RESULT_FILE_MATCH,0
rp_CLO_20260605_5.05,Clonmel,2026-06-05,5.05,NO_LOCAL_RESULT_FILE_MATCH,0
rp_CLO_20260605_5.40,Clonmel,2026-06-05,5.40,NO_LOCAL_RESULT_FILE_MATCH,0
rp_DON_20260605_8.05,Doncaster,2026-06-05,8.05,NO_LOCAL_RESULT_FILE_MATCH,0
rp_CLO_20260605_6.45,Clonmel,2026-06-05,6.45,NO_LOCAL_RESULT_FILE_MATCH,0
rp_CLO_20260605_7.20,Clonmel,2026-06-05,7.20,NO_LOCAL_RESULT_FILE_MATCH,0
rp_CLO_20260605_7.55,Clonmel,2026-06-05,7.55,NO_LOCAL_RESULT_FILE_MATCH,0
rp_CLO_20260605_8.30,Clonmel,2026-06-05,8.30,NO_LOCAL_RESULT_FILE_MATCH,0
rp_DON_20260605_5.10,Doncaster,2026-06-05,5.10,NO_LOCAL_RESULT_FILE_MATCH,0
rp_DON_20260605_5.45,Doncaster,2026-06-05,5.45,NO_LOCAL_RESULT_FILE_MATCH,0
rp_DON_20260605_6.20,Doncaster,2026-06-05,6.20,NO_LOCAL_RESULT_FILE_MATCH,0
rp_DON_20260605_6.55,Doncaster,2026-06-05,6.55,NO_LOCAL_RESULT_FILE_MATCH,0
rp_DON_20260605_7.30,Doncaster,2026-06-05,7.30,NO_LOCAL_RESULT_FILE_MATCH,0
rp_DON_20260605_8.40,Doncaster,2026-06-05,8.40,NO_LOCAL_RESULT_FILE_MATCH,0
rp_EPS_20260605_1.30,Epsom,2026-06-05,1.30,NO_LOCAL_RESULT_FILE_MATCH,0
rp_EPS_20260605_2.05,Epsom,2026-06-05,2.05,NO_LOCAL_RESULT_FILE_MATCH,0
rp_EPS_20260605_2.40,Epsom,2026-06-05,2.40,NO_LOCAL_RESULT_FILE_MATCH,0
rp_EPS_20260605_3.15,Epsom,2026-06-05,3.15,NO_LOCAL_RESULT_FILE_MATCH,0
rp_GOO_20260605_5.25,Goodwood,2026-06-05,5.25,NO_LOCAL_RESULT_FILE_MATCH,0
rp_EPS_20260605_4.00,Epsom,2026-06-05,4.00,NO_LOCAL_RESULT_FILE_MATCH,0
rp_EPS_20260605_4.40,Epsom,2026-06-05,4.40,NO_LOCAL_RESULT_FILE_MATCH,0
rp_EPS_20260605_5.15,Epsom,2026-06-05,5.15,NO_LOCAL_RESULT_FILE_MATCH,0
rp_EPS_20260605_5.50,Epsom,2026-06-05,5.50,NO_LOCAL_RESULT_FILE_MATCH,0
rp_FAI_20260605_4.20,Fairyhouse,2026-06-05,4.20,NO_LOCAL_RESULT_FILE_MATCH,0
rp_FAI_20260605_4.55,Fairyhouse,2026-06-05,4.55,NO_LOCAL_RESULT_FILE_MATCH,0
rp_FAI_20260605_5.30,Fairyhouse,2026-06-05,5.30,NO_LOCAL_RESULT_FILE_MATCH,0
