run_date,race_id,model_name,lane_name,horse,horse_id,source_scorecard_id,source_field,rank,score,sp_dec,result_position,win,frame,policy_decision,stake_authorised,dashboard_visible,learning_class,event_type,promotion_eligible,promotion_block_reason,lesson,evidence,generated_from_commit
2026-07-05,922117,MAIN_VELO_PRIME,main,Regal Renaissance,4305460,21,velo_prime_prob,1,0.3923,3.0,1,True,True,N/A (no policy layer for Main VELO -- persists directly),False,True,MODEL_HIT,MODEL_HIT_NO_POLICY_LAYER,False,PROMOTION_GATED_BY_STANDING_HARD_LAW,MAIN_VELO_PRIME picked Regal Renaissance (SP 3.0) and it won.,"{""source_path"": ""Supabase velo_verdicts.full_analysis.predictions[]"", ""notes"": ""Main VELO's own top-ranked pick.""}",5f269b49cf8e6e75cc4d8ffafd9394c55cd5bb38
2026-07-05,922117,SQPE_NO_RPR_SHADOW,shadow,Fringill Dike,3432677,22,sqpe_no_rpr_shadow_prob,1,0.3284,1.83,2,False,True,N/A (no policy layer for this shadow field),False,True,MODEL_MISS,MODEL_MISS_NO_POLICY_LAYER,False,PROMOTION_GATED_BY_STANDING_HARD_LAW,SQPE_NO_RPR_SHADOW picked Fringill Dike (SP 1.83) and it did not win.,"{""source_path"": ""Supabase velo_verdicts.full_analysis.predictions[]"", ""notes"": null}",5f269b49cf8e6e75cc4d8ffafd9394c55cd5bb38
2026-07-05,922123,MAIN_VELO_PRIME,main,The Roc Hopper,5366253,23,velo_prime_prob,1,0.2876,13.0,8,False,False,N/A (no policy layer for Main VELO -- persists directly),False,True,MODEL_MISS,MODEL_MISS_NO_POLICY_LAYER,False,PROMOTION_GATED_BY_STANDING_HARD_LAW,MAIN_VELO_PRIME picked The Roc Hopper (SP 13.0) and it did not win.,"{""source_path"": ""Supabase velo_verdicts.full_analysis.predictions[]"", ""notes"": ""Main VELO's own top-ranked pick.""}",5f269b49cf8e6e75cc4d8ffafd9394c55cd5bb38
2026-07-05,922123,SQPE_NO_RPR_SHADOW,shadow,Lunar Morning,7303417,24,sqpe_no_rpr_shadow_prob,1,0.1016,17.0,5,False,False,N/A (no policy layer for this shadow field),False,True,MODEL_MISS,MODEL_MISS_NO_POLICY_LAYER,False,PROMOTION_GATED_BY_STANDING_HARD_LAW,SQPE_NO_RPR_SHADOW picked Lunar Morning (SP 17.0) and it did not win.,"{""source_path"": ""Supabase velo_verdicts.full_analysis.predictions[]"", ""notes"": null}",5f269b49cf8e6e75cc4d8ffafd9394c55cd5bb38
2026-07-05,922119,MAIN_VELO_PRIME,main,Crown Of India,5218313,25,velo_prime_prob,1,0.3921,8.0,2,False,True,N/A (no policy layer for Main VELO -- persists directly),False,True,MODEL_MISS,MODEL_MISS_NO_POLICY_LAYER,False,PROMOTION_GATED_BY_STANDING_HARD_LAW,MAIN_VELO_PRIME picked Crown Of India (SP 8.0) and it did not win.,"{""source_path"": ""Supabase velo_verdicts.full_analysis.predictions[]"", ""notes"": ""Main VELO's own top-ranked pick.""}",5f269b49cf8e6e75cc4d8ffafd9394c55cd5bb38
2026-07-05,922119,SQPE_NO_RPR_SHADOW,shadow,Fidendum,5848874,26,sqpe_no_rpr_shadow_prob,1,0.1653,2.88,1,True,True,N/A (no policy layer for this shadow field),False,True,MODEL_HIT,MODEL_HIT_NO_POLICY_LAYER,False,PROMOTION_GATED_BY_STANDING_HARD_LAW,SQPE_NO_RPR_SHADOW picked Fidendum (SP 2.88) and it won.,"{""source_path"": ""Supabase velo_verdicts.full_analysis.predictions[]"", ""notes"": null}",5f269b49cf8e6e75cc4d8ffafd9394c55cd5bb38
2026-07-05,922118,MAIN_VELO_PRIME,main,Way Maker,7753413,27,velo_prime_prob,1,0.5313,1.83,3,False,True,N/A (no policy layer for Main VELO -- persists directly),False,True,MODEL_MISS,MODEL_MISS_NO_POLICY_LAYER,False,PROMOTION_GATED_BY_STANDING_HARD_LAW,MAIN_VELO_PRIME picked Way Maker (SP 1.83) and it did not win.,"{""source_path"": ""Supabase velo_verdicts.full_analysis.predictions[]"", ""notes"": ""Main VELO's own top-ranked pick.""}",5f269b49cf8e6e75cc4d8ffafd9394c55cd5bb38
2026-07-05,922118,SQPE_NO_RPR_SHADOW,shadow,Brosna Town,5301550,28,sqpe_no_rpr_shadow_prob,1,0.1528,8.5,2,False,True,N/A (no policy layer for this shadow field),False,True,MODEL_MISS,MODEL_MISS_NO_POLICY_LAYER,False,PROMOTION_GATED_BY_STANDING_HARD_LAW,SQPE_NO_RPR_SHADOW picked Brosna Town (SP 8.5) and it did not win.,"{""source_path"": ""Supabase velo_verdicts.full_analysis.predictions[]"", ""notes"": null}",5f269b49cf8e6e75cc4d8ffafd9394c55cd5bb38
2026-07-05,922121,MAIN_VELO_PRIME,main,Gone In Sixty,4320814,29,velo_prime_prob,1,0.3232,5.5,4,False,False,N/A (no policy layer for Main VELO -- persists directly),False,True,MODEL_MISS,MODEL_MISS_NO_POLICY_LAYER,False,PROMOTION_GATED_BY_STANDING_HARD_LAW,MAIN_VELO_PRIME picked Gone In Sixty (SP 5.5) and it did not win.,"{""source_path"": ""Supabase velo_verdicts.full_analysis.predictions[]"", ""notes"": ""Main VELO's own top-ranked pick.""}",5f269b49cf8e6e75cc4d8ffafd9394c55cd5bb38
2026-07-05,922121,SQPE_NO_RPR_SHADOW,shadow,Oneinthewell,7148050,30,sqpe_no_rpr_shadow_prob,1,0.1498,4.33,2,False,True,N/A (no policy layer for this shadow field),False,True,MODEL_MISS,MODEL_MISS_NO_POLICY_LAYER,False,PROMOTION_GATED_BY_STANDING_HARD_LAW,SQPE_NO_RPR_SHADOW picked Oneinthewell (SP 4.33) and it did not win.,"{""source_path"": ""Supabase velo_verdicts.full_analysis.predictions[]"", ""notes"": null}",5f269b49cf8e6e75cc4d8ffafd9394c55cd5bb38
