course,off_time,runner_name,best_candidate_1,score_1,best_candidate_2,score_2,recommended_action,reason
BEL,7.48,Radar Ahead,Far Ahead,0.8,March Ahead,0.7273,NO_MATCH,best fuzzy score 0.800 below 0.90 threshold
BEL,7.48,Tolka Row,Tokaido,0.625,Texas Crown,0.6,NO_MATCH,best fuzzy score 0.625 below 0.90 threshold
BEL,7.48,Whatsavailable,Havana Blue,0.64,Thats All,0.6087,NO_MATCH,best fuzzy score 0.640 below 0.90 threshold
BEL,8.18,Begorrah Boy,Bollengo Boy,0.6667,Budworth Boy,0.6667,NO_MATCH,best fuzzy score 0.667 below 0.90 threshold
BEL,8.18,Dee Bee Zed,Desert Belle,0.6087,In The Breeze,0.5833,NO_MATCH,best fuzzy score 0.609 below 0.90 threshold
BEL,8.18,Fortysixnchange,Fortunate,0.5833,Californian Angel,0.5625,NO_MATCH,best fuzzy score 0.583 below 0.90 threshold
BEL,8.18,Go Loud,Reagrove Lord,0.6,Golden Valour,0.6,NO_MATCH,best fuzzy score 0.600 below 0.90 threshold
BEL,8.18,Hot Rock Harry,Ten Carat Harry,0.6207,Master Harry,0.6154,NO_MATCH,best fuzzy score 0.621 below 0.90 threshold
BEL,8.18,I Give Theorders,Obey The Order,0.6667,Swinging The World,0.5882,NO_MATCH,best fuzzy score 0.667 below 0.90 threshold
BEL,8.18,Kingside Lady,Anglesey Lad,0.64,English Lady,0.64,NO_MATCH,best fuzzy score 0.640 below 0.90 threshold
BEL,8.18,Mila Ballerina,Thelittleballerina,0.6875,Isla Bella,0.6667,NO_MATCH,best fuzzy score 0.688 below 0.90 threshold
BEL,8.18,Mr Enigma,Kyrenia,0.625,Amenita,0.625,NO_MATCH,best fuzzy score 0.625 below 0.90 threshold
BEL,8.18,Pamelaisbrass,Elsass,0.6316,Alasrae,0.6,NO_MATCH,best fuzzy score 0.632 below 0.90 threshold
BEL,8.18,Silk Buds,Silken Bay,0.6316,Silky Lass,0.6316,NO_MATCH,best fuzzy score 0.632 below 0.90 threshold
BEL,8.18,Sir Vinny,Sister Nancy,0.6667,Sir David,0.6667,NO_MATCH,best fuzzy score 0.667 below 0.90 threshold
BEL,8.18,Woodie Wiley,Wood Whisperer,0.6154,Woolisle,0.6,NO_MATCH,best fuzzy score 0.615 below 0.90 threshold
BEL,8.18,Yanure,Aventure,0.7143,Anaream,0.6154,NO_MATCH,best fuzzy score 0.714 below 0.90 threshold
BEV,2.17,Autumn Jewel,Autumn Angel,0.75,Autumn Twist,0.6667,NO_MATCH,best fuzzy score 0.750 below 0.90 threshold
BEV,2.17,Desert Move,Desert Cop,0.7619,Desert Master,0.75,NO_MATCH,best fuzzy score 0.762 below 0.90 threshold
BEV,2.17,Enemy Action,Lemmy Caution,0.72,Take Action,0.6957,NO_MATCH,best fuzzy score 0.720 below 0.90 threshold
BEV,2.17,Inca Warrior,Lincoln Warrior,0.8148,Teffian Warrior,0.7407,NO_MATCH,best fuzzy score 0.815 below 0.90 threshold
BEV,2.17,Nightbloom,Bloom,0.6667,Night Storm,0.6667,NO_MATCH,best fuzzy score 0.667 below 0.90 threshold
BEV,2.17,Palm Reader,Space Dreamer,0.6667,Paul's Dream,0.6364,NO_MATCH,best fuzzy score 0.667 below 0.90 threshold
BEV,2.17,Up The Stakes,Raise The Stakes,0.7586,The Hostage,0.6667,NO_MATCH,best fuzzy score 0.759 below 0.90 threshold
BEV,2.17,Viking Barbie,King Sacre,0.6957,King Of Berkshire,0.6,NO_MATCH,best fuzzy score 0.696 below 0.90 threshold
BEV,2.17,Waiting For Archie,Rising Force,0.6667,Faith In Florence,0.6286,NO_MATCH,best fuzzy score 0.667 below 0.90 threshold
BEV,2.52,Asander,Sandpyper,0.75,Haaderr,0.7143,NO_MATCH,best fuzzy score 0.750 below 0.90 threshold
BEV,2.52,Happy Love,Happy Index,0.6667,Happy Henry,0.6667,NO_MATCH,best fuzzy score 0.667 below 0.90 threshold
BEV,3.24,Tiger In The Tree,In The Trenches,0.6875,Porter In The Park,0.6857,NO_MATCH,best fuzzy score 0.688 below 0.90 threshold
BEV,4.02,Al Aasy,Al Baahy,0.8,Laafy,0.6667,NO_MATCH,best fuzzy score 0.800 below 0.90 threshold
BEV,4.02,By The Book,Ask The Bookie,0.72,Hey Boo,0.6667,NO_MATCH,best fuzzy score 0.720 below 0.90 threshold
BEV,4.02,Phantom Flight,Phantom Gold,0.6923,Phoenix Light,0.6667,NO_MATCH,best fuzzy score 0.692 below 0.90 threshold
BEV,4.35,Cancelled,Chancellor,0.7368,Danielle,0.7059,NO_MATCH,best fuzzy score 0.737 below 0.90 threshold
BEV,5.10,Coolree,Collared,0.6667,Coul Dreamer,0.6316,NO_MATCH,best fuzzy score 0.667 below 0.90 threshold
BEV,5.10,Degale,Regaled,0.7692,Galen,0.7273,NO_MATCH,best fuzzy score 0.769 below 0.90 threshold
BEV,5.40,Forever Twenty,Forever Fancy,0.7407,Forever Noah,0.6923,NO_MATCH,best fuzzy score 0.741 below 0.90 threshold
CRL,6.09,Eagles Dream,Let's Dream,0.8182,Paul's Dream,0.7826,NO_MATCH,best fuzzy score 0.818 below 0.90 threshold
CRL,6.09,Financer,Fenlander,0.7059,Fancy Dancer,0.7,NO_MATCH,best fuzzy score 0.706 below 0.90 threshold
CRL,6.39,Can I Kiss You,Man Is King,0.56,Cankoura,0.5455,NO_MATCH,best fuzzy score 0.560 below 0.90 threshold
CRL,6.39,Captain Pickles,Captain P,0.75,Captain Cool,0.7407,NO_MATCH,best fuzzy score 0.750 below 0.90 threshold
