course,off_time,runner_name,best_candidate_1,score_1,best_candidate_2,score_2,recommended_action,reason
NOT,6.30,El Ghuwah,Gwash,0.5714,Al Hussar,0.5556,NO_MATCH,best fuzzy score 0.571 below 0.90 threshold
NOT,6.30,Green Champion,Green Citation,0.7857,Northern Champion,0.7742,NO_MATCH,best fuzzy score 0.786 below 0.90 threshold
NOT,6.30,Mariselle,Brielle,0.75,Danielle,0.7059,NO_MATCH,best fuzzy score 0.750 below 0.90 threshold
NOT,6.30,Miracleoftheandes,Race To The Edge,0.6061,Isle Of Fernandez,0.5882,NO_MATCH,best fuzzy score 0.606 below 0.90 threshold
NOT,6.30,Shego,Sherlock,0.6154,Shoof,0.6,NO_MATCH,best fuzzy score 0.615 below 0.90 threshold
NOT,6.30,Sugar Bon Bon,Soaring Bronco,0.5926,Star Banner,0.5833,NO_MATCH,best fuzzy score 0.593 below 0.90 threshold
NOT,6.30,Tide Runner,Rhodes Runner,0.75,Tide Of Fortune,0.6923,NO_MATCH,best fuzzy score 0.750 below 0.90 threshold
NOT,7.00,Duskaura,Lusaka,0.5714,Saturnalia,0.5556,NO_MATCH,best fuzzy score 0.571 below 0.90 threshold
NOT,7.00,Eartha,Aretha,0.8333,Earthwatch,0.75,NO_MATCH,best fuzzy score 0.833 below 0.90 threshold
NOT,8.00,Huggable,Muvable,0.6667,Snuggle,0.6667,NO_MATCH,best fuzzy score 0.667 below 0.90 threshold
NOT,8.30,Alcanzor,Alcantor,0.875,Alcaraz,0.6667,NO_MATCH,best fuzzy score 0.875 below 0.90 threshold
NOT,8.30,Balmoral Boy,Bartlemy Boy,0.6667,Barnsnape Boy,0.64,NO_MATCH,best fuzzy score 0.667 below 0.90 threshold
NOT,8.30,Sound Gloria,Ramon Di Loria,0.6923,Sioux Grit,0.6364,NO_MATCH,best fuzzy score 0.692 below 0.90 threshold
NOT,9.00,Pride Eye,Pearl Eye,0.6667,River Spey,0.6316,NO_MATCH,best fuzzy score 0.667 below 0.90 threshold
NOT,9.00,Quirke On Parole,Time To Sparkle,0.6452,Quiet In Bresil,0.5806,NO_MATCH,best fuzzy score 0.645 below 0.90 threshold
NOT,9.00,Stipulation,Distillation,0.7826,Station X,0.7,NO_MATCH,best fuzzy score 0.783 below 0.90 threshold
NOT,9.00,Time Turner,Time To Turn,0.7826,More Thunder,0.6957,NO_MATCH,best fuzzy score 0.783 below 0.90 threshold
SAN,1.50,Luna A Inbhir Nis,Turn And Finish,0.5625,What A Girl Wants,0.5294,NO_MATCH,best fuzzy score 0.562 below 0.90 threshold
SAN,1.50,Palmeira,Almeraq,0.8,Almeiyda,0.75,NO_MATCH,best fuzzy score 0.800 below 0.90 threshold
SAN,1.50,Words Of Truth,Circle Of Trust,0.6207,Distorted Truth,0.6207,NO_MATCH,best fuzzy score 0.621 below 0.90 threshold
SAN,2.25,Beagle Bay,Eagle Bay,0.9474,Eagle Day,0.8421,BLOCK_AMBIGUOUS,"high character-similarity score 0.947 to 'Eagle Bay', but the difference is a full word-level change (not punctuation/accent/spacing/article) so it is NOT auto-accepted — likely a genuinely different horse. Held for manual review."
SAN,2.25,Bourbon Blues,Rodeo Blues,0.6667,Bouboule,0.6667,NO_MATCH,best fuzzy score 0.667 below 0.90 threshold
SAN,2.25,City Of Poets,City Of God,0.75,City Of Dreams,0.7407,NO_MATCH,best fuzzy score 0.750 below 0.90 threshold
SAN,2.25,Hard Endeavor,Black Endeavour,0.7143,Brave Endeavour,0.7143,NO_MATCH,best fuzzy score 0.714 below 0.90 threshold
SAN,2.25,Indalo,Winalot,0.7692,Adalo,0.7273,NO_MATCH,best fuzzy score 0.769 below 0.90 threshold
SAN,3.00,Estissa,Poetisa,0.7143,Res Ipsa,0.6667,NO_MATCH,best fuzzy score 0.714 below 0.90 threshold
SAN,3.00,Silenciosa,Silesia,0.7059,Oilisa,0.625,NO_MATCH,best fuzzy score 0.706 below 0.90 threshold
SAN,3.00,Spinning Lizzie,Spinning Wheel,0.6897,Sprinting Speed,0.6,NO_MATCH,best fuzzy score 0.690 below 0.90 threshold
SAN,3.00,Tavana,Avandra,0.7692,Tavarua,0.7692,NO_MATCH,best fuzzy score 0.769 below 0.90 threshold
SAN,3.35,King'S Gambit,King's Trail,0.6957,Fate's Gambit,0.6667,NO_MATCH,best fuzzy score 0.696 below 0.90 threshold
SAN,4.10,He'S Waliim,Yes Waliim,0.9,Bessie Wallis,0.6087,BLOCK_AMBIGUOUS,"high character-similarity score 0.900 to 'Yes Waliim', but the difference is a full word-level change (not punctuation/accent/spacing/article) so it is NOT auto-accepted — likely a genuinely different horse. Held for manual review."
SAN,4.10,Richie'S Rocket,Chestnut Rocket,0.7586,Retro Rocket,0.6923,NO_MATCH,best fuzzy score 0.759 below 0.90 threshold
SAN,4.10,Spirit Of Saxony,Spirit Of Albion,0.8125,Spirit Of Glory,0.7742,NO_MATCH,best fuzzy score 0.812 below 0.90 threshold
SAN,4.47,Akho Mezzna,Dahoma,0.5882,Back To Me,0.5714,NO_MATCH,best fuzzy score 0.588 below 0.90 threshold
SAN,4.47,Bridge Of Eagles,Spirit Of Eagles,0.75,Pride Of Nepal,0.7333,NO_MATCH,best fuzzy score 0.750 below 0.90 threshold
SAN,4.47,Sassicaia,Cassiar,0.625,Classic,0.625,NO_MATCH,best fuzzy score 0.625 below 0.90 threshold
SAN,4.47,St Hilda,Smithfield,0.6667,Sunset Hill,0.6316,NO_MATCH,best fuzzy score 0.667 below 0.90 threshold
SAN,4.47,Tambora,Lambourn,0.6667,Starborn,0.6667,NO_MATCH,best fuzzy score 0.667 below 0.90 threshold
SAN,5.22,Cloth Of Gold,Act Of God,0.7826,City Of God,0.75,NO_MATCH,best fuzzy score 0.783 below 0.90 threshold
SAN,5.22,Flying Frontier,Flying Fortune,0.7586,Flying Fletcher,0.7333,NO_MATCH,best fuzzy score 0.759 below 0.90 threshold
SAN,5.22,Point Of Contact,Port Of Entry,0.6207,Power Of Chora,0.6,NO_MATCH,best fuzzy score 0.621 below 0.90 threshold
SAN,5.22,Rathgar,Rajstar,0.7143,Kraar,0.6667,NO_MATCH,best fuzzy score 0.714 below 0.90 threshold
SAN,5.22,Theory Of Tides,Poetry Of Time,0.6897,Three Of Spades,0.6667,NO_MATCH,best fuzzy score 0.690 below 0.90 threshold
