date,race_id,course,off_time,model_name,lane_name,source_path,source_field,sort_direction,rank,horse,horse_id,score,sp_dec,result_position,win,frame,policy_decision,stake_authorised,dashboard_visible,learning_class,tie_status,notes
2026-07-05,922121,Market Rasen,1.50,NEW_BUILD_LANE_A_MODEL,lane_a,data/new_build/reports/two_lane_readiness_2026_07_05.json,race_day_scorecards[].lane_a_top3.prob,descending,3,Oneinthewell,7148050,0.12242,4.33,2,False,True,LOW_DATA,False,True,MODEL_MISS,N/A,Dashboard-visible via new_build_top3 (server reads lane_a_top3 only).
2026-07-05,922121,Market Rasen,1.50,NEW_BUILD_LANE_B_MODEL,lane_b,data/new_build/reports/two_lane_readiness_2026_07_05.json,race_day_scorecards[].lane_b_top3.prob,descending,1,Gone In Sixty,4320814,0.134074,5.5,4,False,False,NO_EDGE,False,False,MODEL_MISS,N/A,Not served by the live dashboard -- present only in this local readiness file.
2026-07-05,922121,Market Rasen,1.50,NEW_BUILD_LANE_B_MODEL,lane_b,data/new_build/reports/two_lane_readiness_2026_07_05.json,race_day_scorecards[].lane_b_top3.prob,descending,2,Oneinthewell,7148050,0.132482,4.33,2,False,True,LOW_DATA,False,False,MODEL_MISS,N/A,Not served by the live dashboard -- present only in this local readiness file.
2026-07-05,922121,Market Rasen,1.50,NEW_BUILD_LANE_B_MODEL,lane_b,data/new_build/reports/two_lane_readiness_2026_07_05.json,race_day_scorecards[].lane_b_top3.prob,descending,3,Bannister,2856069,0.109448,17.0,6,False,False,LOW_DATA,False,False,MODEL_MISS,N/A,Not served by the live dashboard -- present only in this local readiness file.
2026-07-05,922121,Market Rasen,1.50,NEW_BUILD_LANE_C_MODEL,lane_c,data/new_build/reports/two_lane_readiness_2026_07_05.json,race_day_scorecards[].lane_c_top3.prob,descending,1,Gone In Sixty,4320814,0.561588,5.5,4,False,False,N/A (Lane C not policy-anchored),False,False,MODEL_MISS,N/A,Not served by the live dashboard -- present only in this local readiness file.
2026-07-05,922121,Market Rasen,1.50,NEW_BUILD_LANE_C_MODEL,lane_c,data/new_build/reports/two_lane_readiness_2026_07_05.json,race_day_scorecards[].lane_c_top3.prob,descending,2,Oneinthewell,7148050,0.559941,4.33,2,False,True,N/A (Lane C not policy-anchored),False,False,MODEL_MISS,N/A,Not served by the live dashboard -- present only in this local readiness file.
2026-07-05,922121,Market Rasen,1.50,NEW_BUILD_LANE_C_MODEL,lane_c,data/new_build/reports/two_lane_readiness_2026_07_05.json,race_day_scorecards[].lane_c_top3.prob,descending,3,Captain Connor,8418735,0.557687,29.0,7,False,False,N/A (Lane C not policy-anchored),False,False,MODEL_MISS,N/A,Not served by the live dashboard -- present only in this local readiness file.
2026-07-05,922121,Market Rasen,1.50,PASSPORT_STRENGTH_SCORE_PROXY,proxy_not_a_model,data/new_build/current_cards/current_card_passport_feed_2026_07_05.jsonl,passport_strength_score,descending (imposed; field has no native sort semantics),1,Gone In Sixty,4320814,2.2,5.5,4,False,False,"N/A (feature input, not a model with a policy layer)",False,False,PROXY_NOT_A_MODEL_CLAIM,N/A,"This is a feature-engineering input INTO Lane A/B/C, not their output. Never cite as New Build's result."
2026-07-05,922121,Market Rasen,1.50,PASSPORT_STRENGTH_SCORE_PROXY,proxy_not_a_model,data/new_build/current_cards/current_card_passport_feed_2026_07_05.jsonl,passport_strength_score,descending (imposed; field has no native sort semantics),2,Lakefield Flyer,4117778,1.55,3.75,3,False,True,"N/A (feature input, not a model with a policy layer)",False,False,PROXY_NOT_A_MODEL_CLAIM,N/A,"This is a feature-engineering input INTO Lane A/B/C, not their output. Never cite as New Build's result."
2026-07-05,922121,Market Rasen,1.50,PASSPORT_STRENGTH_SCORE_PROXY,proxy_not_a_model,data/new_build/current_cards/current_card_passport_feed_2026_07_05.jsonl,passport_strength_score,descending (imposed; field has no native sort semantics),3,William Of York,3398275,0.75,19.0,PU,False,False,"N/A (feature input, not a model with a policy layer)",False,False,PROXY_NOT_A_MODEL_CLAIM,N/A,"This is a feature-engineering input INTO Lane A/B/C, not their output. Never cite as New Build's result."
2026-07-05,921917,Southwell (AW),2.02,NEW_BUILD_LANE_A_MODEL,lane_a,data/new_build/reports/two_lane_readiness_2026_07_05.json,race_day_scorecards[].lane_a_top3.prob,descending,1,Paranjape,7529938,0.110622,12.0,6,False,False,SUPPRESS,False,True,MODEL_MISS,N/A,Dashboard-visible via new_build_top3 (server reads lane_a_top3 only).
2026-07-05,921917,Southwell (AW),2.02,NEW_BUILD_LANE_A_MODEL,lane_a,data/new_build/reports/two_lane_readiness_2026_07_05.json,race_day_scorecards[].lane_a_top3.prob,descending,2,Areti,8227226,0.108286,11.0,4,False,False,SUPPRESS,False,True,MODEL_MISS,N/A,Dashboard-visible via new_build_top3 (server reads lane_a_top3 only).
