race_id,course,off_time,model,lane,predicted_horse,prediction_rank,prediction_score,decision_tier,product,morning_price,final_sp,bsp,finishing_position,non_runner,source_artifact,generated_at,prediction_run_id,timing_safety
923096,Lingfield,7.20,NO_RPR_SHADOW,sqpe_no_rpr_shadow,Desert Shadow,1,0.5002,A,CASH_RUN,,3.5,,1,False,evidence_staging/2026-07-15/data/reports/radical_shadow_2026_07_15.json,2026-07-15T14:09:20.832246+00:00,NO_RUN_SCOPED_ID_AVAILABLE,MORNING_RUN_UNPROVEN
924714,Happy Valley,1.30,OLD_VELO,main,Winning Champion,1,0.2992,,EW_CANDIDATE,7.0,11.0,,1,False,evidence_staging/2026-07-15/data/runner_snapshots_2026_07_15_2026_07_15_aef63056_1784105122721.jsonl,2026-07-15T08:46:03.598813+00:00,2026_07_15_aef63056_1784105122721,MORNING_RUN_PROVEN
922986,Uttoxeter,2.18,OLD_VELO,main,Fine Thing,1,0.3801,,PASS,2.0,2.88,,1,False,evidence_staging/2026-07-15/data/runner_snapshots_2026_07_15_2026_07_15_aef63056_1784105122721.jsonl,2026-07-15T08:46:03.598813+00:00,2026_07_15_aef63056_1784105122721,MORNING_RUN_PROVEN
924716,Happy Valley,2.35,OLD_VELO,main,Thriving Brothers,1,0.3122,,VISION_ONLY,3.0,3.8,,1,False,evidence_staging/2026-07-15/data/runner_snapshots_2026_07_15_2026_07_15_aef63056_1784105122721.jsonl,2026-07-15T08:46:03.598813+00:00,2026_07_15_aef63056_1784105122721,MORNING_RUN_PROVEN
923093,Catterick,2.40,OLD_VELO,main,South West,1,0.425,,PASS,1.88,2.88,,1,False,evidence_staging/2026-07-15/data/runner_snapshots_2026_07_15_2026_07_15_aef63056_1784105122721.jsonl,2026-07-15T08:46:03.598813+00:00,2026_07_15_aef63056_1784105122721,MORNING_RUN_PROVEN
922990,Uttoxeter,2.48,OLD_VELO,main,Lady Fortune,1,0.2458,,EW_CANDIDATE,7.0,11.0,,1,False,evidence_staging/2026-07-15/data/runner_snapshots_2026_07_15_2026_07_15_aef63056_1784105122721.jsonl,2026-07-15T08:46:03.598813+00:00,2026_07_15_aef63056_1784105122721,MORNING_RUN_PROVEN
923095,Catterick,3.10,OLD_VELO,main,Lady Dublin,1,0.5368,,VISION_ONLY,1.88,3.0,,1,False,evidence_staging/2026-07-15/data/runner_snapshots_2026_07_15_2026_07_15_aef63056_1784105122721.jsonl,2026-07-15T08:46:03.598813+00:00,2026_07_15_aef63056_1784105122721,MORNING_RUN_PROVEN
923104,Yarmouth,5.00,OLD_VELO,main,Adalida,1,0.6982,,VISION_ONLY,1.25,2.5,,1,False,evidence_staging/2026-07-15/data/runner_snapshots_2026_07_15_2026_07_15_aef63056_1784105122721.jsonl,2026-07-15T08:46:03.598813+00:00,2026_07_15_aef63056_1784105122721,MORNING_RUN_PROVEN
923088,Bath,5.05,OLD_VELO,main,Havana Club,1,0.5387,,VISION_ONLY,3.0,3.25,,1,False,evidence_staging/2026-07-15/data/runner_snapshots_2026_07_15_2026_07_15_aef63056_1784105122721.jsonl,2026-07-15T08:46:03.598813+00:00,2026_07_15_aef63056_1784105122721,MORNING_RUN_PROVEN
923098,Lingfield,5.20,OLD_VELO,main,Probation,1,0.4649,,PASS,1.5,2.25,,1,False,evidence_staging/2026-07-15/data/runner_snapshots_2026_07_15_2026_07_15_aef63056_1784105122721.jsonl,2026-07-15T08:46:03.598813+00:00,2026_07_15_aef63056_1784105122721,MORNING_RUN_PROVEN
924611,Killarney,5.30,OLD_VELO,main,Minaun View,1,0.4933,,EW_CANDIDATE,5.0,4.0,,1,False,evidence_staging/2026-07-15/data/runner_snapshots_2026_07_15_2026_07_15_aef63056_1784105122721.jsonl,2026-07-15T08:46:03.598813+00:00,2026_07_15_aef63056_1784105122721,MORNING_RUN_PROVEN
923105,Yarmouth,5.35,OLD_VELO,main,Splash,1,0.375,,PASS,2.75,6.0,,1,False,evidence_staging/2026-07-15/data/runner_snapshots_2026_07_15_2026_07_15_aef63056_1784105122721.jsonl,2026-07-15T08:46:03.598813+00:00,2026_07_15_aef63056_1784105122721,MORNING_RUN_PROVEN
923097,Lingfield,5.50,OLD_VELO,main,Brunhilde,1,0.5025,,PASS,1.25,1.14,,1,False,evidence_staging/2026-07-15/data/runner_snapshots_2026_07_15_2026_07_15_aef63056_1784105122721.jsonl,2026-07-15T08:46:03.598813+00:00,2026_07_15_aef63056_1784105122721,MORNING_RUN_PROVEN
923099,Lingfield,6.20,OLD_VELO,main,Fire Thunder,1,0.6765,,WIN_ONLY,2.25,1.25,,1,False,evidence_staging/2026-07-15/data/runner_snapshots_2026_07_15_2026_07_15_aef63056_1784105122721.jsonl,2026-07-15T08:46:03.598813+00:00,2026_07_15_aef63056_1784105122721,MORNING_RUN_PROVEN
923096,Lingfield,7.20,OLD_VELO,main,Desert Shadow,1,0.5002,,VISION_ONLY,3.5,3.5,,1,False,evidence_staging/2026-07-15/data/runner_snapshots_2026_07_15_2026_07_15_aef63056_1784105122721.jsonl,2026-07-15T08:46:03.598813+00:00,2026_07_15_aef63056_1784105122721,MORNING_RUN_PROVEN
