race_id,course,off_time,specialist,signal_type,predicted_horse,horse_id,score,actual_winner,hit,final_sp,timing_safety,source_artifact
923095,Catterick,3.10,MARKET_DECEPTION_MODEL,specialist_score,Lady Dublin,9092904,0.1759,Lady Dublin,True,3.0,STRICT_PRE_RACE_PROVEN,"runner_snapshots (morning, immutable)"
923095,Catterick,3.10,RPDC_LEADER,heuristic,Lady Dublin,9092904,3.5,Lady Dublin,True,3.0,STRICT_PRE_RACE_PROVEN,"runner_snapshots (morning, immutable)"
923091,Catterick,3.40,PLACE_MODEL,calibrated_model,Dream Deal,3767116,0.4795,The Good Biscuit,False,13.0,STRICT_PRE_RACE_PROVEN,"runner_snapshots (morning, immutable)"
923091,Catterick,3.40,LONGSHOT_MODEL,calibrated_model,Dream Deal,3767116,0.0803,The Good Biscuit,False,13.0,STRICT_PRE_RACE_PROVEN,"runner_snapshots (morning, immutable)"
923091,Catterick,3.40,IMPROVEMENT_MODEL,specialist_score,Dream Deal,3767116,0.0321,The Good Biscuit,False,13.0,STRICT_PRE_RACE_PROVEN,"runner_snapshots (morning, immutable)"
923091,Catterick,3.40,MARKET_DECEPTION_MODEL,specialist_score,Aberama Gold,2645543,0.0401,The Good Biscuit,False,4.5,STRICT_PRE_RACE_PROVEN,"runner_snapshots (morning, immutable)"
923091,Catterick,3.40,RPDC_LEADER,heuristic,Dream Deal,3767116,1.2,The Good Biscuit,False,13.0,STRICT_PRE_RACE_PROVEN,"runner_snapshots (morning, immutable)"
923090,Catterick,4.10,PLACE_MODEL,calibrated_model,Woodstock,4175545,0.9822,Naval Light,False,4.5,STRICT_PRE_RACE_PROVEN,"runner_snapshots (morning, immutable)"
923090,Catterick,4.10,LONGSHOT_MODEL,calibrated_model,Woodstock,4175545,0.3652,Naval Light,False,4.5,STRICT_PRE_RACE_PROVEN,"runner_snapshots (morning, immutable)"
923090,Catterick,4.10,IMPROVEMENT_MODEL,specialist_score,Woodstock,4175545,0.1255,Naval Light,False,4.5,STRICT_PRE_RACE_PROVEN,"runner_snapshots (morning, immutable)"
923090,Catterick,4.10,MARKET_DECEPTION_MODEL,specialist_score,Woodstock,4175545,0.2154,Naval Light,False,4.5,STRICT_PRE_RACE_PROVEN,"runner_snapshots (morning, immutable)"
923090,Catterick,4.10,RPDC_LEADER,heuristic,Woodstock,4175545,2.5,Naval Light,False,4.5,STRICT_PRE_RACE_PROVEN,"runner_snapshots (morning, immutable)"
923094,Catterick,4.40,PLACE_MODEL,calibrated_model,Gwen Tennyson,8547318,0.3199,Our Absent Friends,False,51.0,STRICT_PRE_RACE_PROVEN,"runner_snapshots (morning, immutable)"
923094,Catterick,4.40,LONGSHOT_MODEL,calibrated_model,Gwen Tennyson,8547318,0.0578,Our Absent Friends,False,51.0,STRICT_PRE_RACE_PROVEN,"runner_snapshots (morning, immutable)"
923094,Catterick,4.40,IMPROVEMENT_MODEL,specialist_score,Gwen Tennyson,8547318,0.0496,Our Absent Friends,False,51.0,STRICT_PRE_RACE_PROVEN,"runner_snapshots (morning, immutable)"
923094,Catterick,4.40,MARKET_DECEPTION_MODEL,specialist_score,South Shore,5045864,0.0358,Our Absent Friends,False,2.38,STRICT_PRE_RACE_PROVEN,"runner_snapshots (morning, immutable)"
923094,Catterick,4.40,RPDC_LEADER,heuristic,South Shore,5045864,3.7,Our Absent Friends,False,2.38,STRICT_PRE_RACE_PROVEN,"runner_snapshots (morning, immutable)"
924611,Killarney,5.30,PLACE_MODEL,calibrated_model,Minaun View,6528841,0.5167,Minaun View,True,4.0,STRICT_PRE_RACE_PROVEN,"runner_snapshots (morning, immutable)"
924611,Killarney,5.30,LONGSHOT_MODEL,calibrated_model,Timandi,6487590,0.1048,Minaun View,False,11.0,STRICT_PRE_RACE_PROVEN,"runner_snapshots (morning, immutable)"
924611,Killarney,5.30,IMPROVEMENT_MODEL,specialist_score,Minaun View,6528841,0.16,Minaun View,True,4.0,STRICT_PRE_RACE_PROVEN,"runner_snapshots (morning, immutable)"
924611,Killarney,5.30,MARKET_DECEPTION_MODEL,specialist_score,Minaun View,6528841,0.0616,Minaun View,True,4.0,STRICT_PRE_RACE_PROVEN,"runner_snapshots (morning, immutable)"
924611,Killarney,5.30,RPDC_LEADER,heuristic,Minaun View,6528841,3.5,Minaun View,True,4.0,STRICT_PRE_RACE_PROVEN,"runner_snapshots (morning, immutable)"
924612,Killarney,6.00,PLACE_MODEL,calibrated_model,South Dakota,9286477,0.9945,Venetian Power,False,1.73,STRICT_PRE_RACE_PROVEN,"runner_snapshots (morning, immutable)"
924612,Killarney,6.00,LONGSHOT_MODEL,calibrated_model,South Dakota,9286477,0.4186,Venetian Power,False,1.73,STRICT_PRE_RACE_PROVEN,"runner_snapshots (morning, immutable)"
924612,Killarney,6.00,IMPROVEMENT_MODEL,specialist_score,South Dakota,9286477,0.3208,Venetian Power,False,1.73,STRICT_PRE_RACE_PROVEN,"runner_snapshots (morning, immutable)"
924612,Killarney,6.00,MARKET_DECEPTION_MODEL,specialist_score,South Dakota,9286477,0.5542,Venetian Power,False,1.73,STRICT_PRE_RACE_PROVEN,"runner_snapshots (morning, immutable)"
924612,Killarney,6.00,RPDC_LEADER,heuristic,South Dakota,9286477,3.5,Venetian Power,False,1.73,STRICT_PRE_RACE_PROVEN,"runner_snapshots (morning, immutable)"
924613,Killarney,6.30,PLACE_MODEL,calibrated_model,Transcript,9424920,0.8896,Kalir,False,,STRICT_PRE_RACE_PROVEN,"runner_snapshots (morning, immutable)"
924613,Killarney,6.30,LONGSHOT_MODEL,calibrated_model,Transcript,9424920,0.2987,Kalir,False,,STRICT_PRE_RACE_PROVEN,"runner_snapshots (morning, immutable)"
924613,Killarney,6.30,IMPROVEMENT_MODEL,specialist_score,Transcript,9424920,0.3384,Kalir,False,,STRICT_PRE_RACE_PROVEN,"runner_snapshots (morning, immutable)"
924613,Killarney,6.30,MARKET_DECEPTION_MODEL,specialist_score,Transcript,9424920,0.2819,Kalir,False,,STRICT_PRE_RACE_PROVEN,"runner_snapshots (morning, immutable)"
924613,Killarney,6.30,RPDC_LEADER,heuristic,Transcript,9424920,0.8,Kalir,False,,STRICT_PRE_RACE_PROVEN,"runner_snapshots (morning, immutable)"
924614,Killarney,7.00,PLACE_MODEL,calibrated_model,Green Carrera,7204928,0.6304,Meriden,False,3.0,STRICT_PRE_RACE_PROVEN,"runner_snapshots (morning, immutable)"
924614,Killarney,7.00,LONGSHOT_MODEL,calibrated_model,Green Carrera,7204928,0.0081,Meriden,False,3.0,STRICT_PRE_RACE_PROVEN,"runner_snapshots (morning, immutable)"
924614,Killarney,7.00,IMPROVEMENT_MODEL,specialist_score,Green Carrera,7204928,0.0447,Meriden,False,3.0,STRICT_PRE_RACE_PROVEN,"runner_snapshots (morning, immutable)"
924614,Killarney,7.00,MARKET_DECEPTION_MODEL,specialist_score,Green Carrera,7204928,0.0585,Meriden,False,3.0,STRICT_PRE_RACE_PROVEN,"runner_snapshots (morning, immutable)"
924614,Killarney,7.00,RPDC_LEADER,heuristic,Green Carrera,7204928,3.5,Meriden,False,3.0,STRICT_PRE_RACE_PROVEN,"runner_snapshots (morning, immutable)"
924615,Killarney,7.30,PLACE_MODEL,calibrated_model,Draiocht,6327911,0.2311,Bella Colombia,False,34.0,STRICT_PRE_RACE_PROVEN,"runner_snapshots (morning, immutable)"
924615,Killarney,7.30,LONGSHOT_MODEL,calibrated_model,Draiocht,6327911,0.0981,Bella Colombia,False,34.0,STRICT_PRE_RACE_PROVEN,"runner_snapshots (morning, immutable)"
924615,Killarney,7.30,IMPROVEMENT_MODEL,specialist_score,Draiocht,6327911,0.0855,Bella Colombia,False,34.0,STRICT_PRE_RACE_PROVEN,"runner_snapshots (morning, immutable)"
924615,Killarney,7.30,MARKET_DECEPTION_MODEL,specialist_score,Tortola,6238193,0.0196,Bella Colombia,False,5.5,STRICT_PRE_RACE_PROVEN,"runner_snapshots (morning, immutable)"
924615,Killarney,7.30,RPDC_LEADER,heuristic,Draiocht,6327911,0.8,Bella Colombia,False,34.0,STRICT_PRE_RACE_PROVEN,"runner_snapshots (morning, immutable)"
924616,Killarney,8.00,PLACE_MODEL,calibrated_model,Highway Sixty One,5911354,0.2342,Arch Enemy,False,6.5,STRICT_PRE_RACE_PROVEN,"runner_snapshots (morning, immutable)"
924616,Killarney,8.00,LONGSHOT_MODEL,calibrated_model,Highway Sixty One,5911354,0.084,Arch Enemy,False,6.5,STRICT_PRE_RACE_PROVEN,"runner_snapshots (morning, immutable)"
924616,Killarney,8.00,IMPROVEMENT_MODEL,specialist_score,Highway Sixty One,5911354,0.0768,Arch Enemy,False,6.5,STRICT_PRE_RACE_PROVEN,"runner_snapshots (morning, immutable)"
924616,Killarney,8.00,MARKET_DECEPTION_MODEL,specialist_score,Highway Sixty One,5911354,0.0171,Arch Enemy,False,6.5,STRICT_PRE_RACE_PROVEN,"runner_snapshots (morning, immutable)"
924616,Killarney,8.00,RPDC_LEADER,heuristic,Highway Sixty One,5911354,2.5,Arch Enemy,False,6.5,STRICT_PRE_RACE_PROVEN,"runner_snapshots (morning, immutable)"
924617,Killarney,8.30,PLACE_MODEL,calibrated_model,Folly Beach,3261266,0.2122,Loyal Touch,False,11.0,STRICT_PRE_RACE_PROVEN,"runner_snapshots (morning, immutable)"
924617,Killarney,8.30,LONGSHOT_MODEL,calibrated_model,Folly Beach,3261266,0.0496,Loyal Touch,False,11.0,STRICT_PRE_RACE_PROVEN,"runner_snapshots (morning, immutable)"
924617,Killarney,8.30,IMPROVEMENT_MODEL,specialist_score,Folly Beach,3261266,0.0398,Loyal Touch,False,11.0,STRICT_PRE_RACE_PROVEN,"runner_snapshots (morning, immutable)"
924617,Killarney,8.30,MARKET_DECEPTION_MODEL,specialist_score,Lagoon Nebula,6314153,0.0127,Loyal Touch,False,5.5,STRICT_PRE_RACE_PROVEN,"runner_snapshots (morning, immutable)"
924617,Killarney,8.30,RPDC_LEADER,heuristic,Folly Beach,3261266,1.2,Loyal Touch,False,11.0,STRICT_PRE_RACE_PROVEN,"runner_snapshots (morning, immutable)"
923098,Lingfield,5.20,PLACE_MODEL,calibrated_model,Probation,8858093,0.9935,Probation,True,2.25,STRICT_PRE_RACE_PROVEN,"runner_snapshots (morning, immutable)"
923098,Lingfield,5.20,LONGSHOT_MODEL,calibrated_model,Golden Orbit,8174731,0.0688,Probation,False,1.83,STRICT_PRE_RACE_PROVEN,"runner_snapshots (morning, immutable)"
923098,Lingfield,5.20,IMPROVEMENT_MODEL,specialist_score,Rajendra,8062547,0.015,Probation,False,12.0,STRICT_PRE_RACE_PROVEN,"runner_snapshots (morning, immutable)"
