race_id,course,off_time,model,lane,predicted_horse,horse_id,prediction_rank,prediction_score,decision_tier,product,final_sp,finishing_position,non_runner,source_artifact,generated_at,prediction_run_id,timing_safety,source_row_sha256
923092,Catterick,2.10,OLD_VELO,main,Made All,5289576,1,0.4228,B,VISION_ONLY,1.53,3,False,"runner_snapshots (morning, immutable)",2026-07-15T08:46:03.598813+00:00,2026_07_15_aef63056_1784105122721,STRICT_PRE_RACE_PROVEN,a3bb04fe60bcd5d8e979876e4105660152b22993de5443b0433dc9ad88ec7b02
922985,Uttoxeter,3.18,OLD_VELO,main,Samuel Spade,3787100,1,0.3919,B,PASS,3.5,2,False,"runner_snapshots (morning, immutable)",2026-07-15T08:46:03.598813+00:00,2026_07_15_aef63056_1784105122721,STRICT_PRE_RACE_PROVEN,bd996f06f099852a199d9ffe8c6fd4f93184c2edd923d60aaf6278189a7d9529
923086,Bath,4.01,OLD_VELO,main,Endofastorm,4586195,1,0.6007,A,VISION_ONLY,6.0,2,False,"runner_snapshots (morning, immutable)",2026-07-15T08:46:03.598813+00:00,2026_07_15_aef63056_1784105122721,STRICT_PRE_RACE_PROVEN,ffffe7f8dbdf9755fa75518eea3bcd976660cba48a7ee15e710de1dfe19a953a
923090,Catterick,4.10,OLD_VELO,main,Woodstock,4175545,1,0.3796,C,PASS,4.5,2,False,"runner_snapshots (morning, immutable)",2026-07-15T08:46:03.598813+00:00,2026_07_15_aef63056_1784105122721,STRICT_PRE_RACE_PROVEN,1e5ad7e8310c7693a630e5c6ae61d2eb03155c1fe0c01c8d01b60550e892f43d
922987,Uttoxeter,4.18,OLD_VELO,main,Le Gentleman,6577916,1,0.3273,A,VISION_ONLY,3.25,3,False,"runner_snapshots (morning, immutable)",2026-07-15T08:46:03.598813+00:00,2026_07_15_aef63056_1784105122721,STRICT_PRE_RACE_PROVEN,dd361eea8af6d387d03fa563bae68783ed802714f1b26dc84723d0927790a489
923094,Catterick,4.40,OLD_VELO,main,South Shore,5045864,1,0.2451,C,PASS,2.38,2,False,"runner_snapshots (morning, immutable)",2026-07-15T08:46:03.598813+00:00,2026_07_15_aef63056_1784105122721,STRICT_PRE_RACE_PROVEN,b2257267e3784c3501afc34391baa420e14802c0997cc6617480eca22922c246
922991,Uttoxeter,5.25,OLD_VELO,main,Redbarn,8455192,1,0.4393,A,VISION_ONLY,4.5,2,False,"runner_snapshots (morning, immutable)",2026-07-15T08:46:03.598813+00:00,2026_07_15_aef63056_1784105122721,STRICT_PRE_RACE_PROVEN,a6d9533d7f7d02bc607836d2d31dae965a8240b6ad3109a424af58f3a05dac8e
924612,Killarney,6.00,OLD_VELO,main,South Dakota,9286477,1,0.9139,A,WIN_ONLY,1.73,3,False,"runner_snapshots (morning, immutable)",2026-07-15T08:46:03.598813+00:00,2026_07_15_aef63056_1784105122721,STRICT_PRE_RACE_PROVEN,afb268c88b6326d17fba15268ef57d59b4269bc920c7c530191decf4556f9d17
923103,Yarmouth,6.10,OLD_VELO,main,Henley On Thames,9326750,1,0.4252,B,PASS,3.25,2,False,"runner_snapshots (morning, immutable)",2026-07-15T08:46:03.598813+00:00,2026_07_15_aef63056_1784105122721,STRICT_PRE_RACE_PROVEN,365e57f76d5c35e3ef318bc8135a0ed0b20abb0e52f327cc7f7b31cd8d17d6ce
923102,Yarmouth,6.40,OLD_VELO,main,Dion Baker,3886662,1,0.5343,A,VISION_ONLY,5.0,3,False,"runner_snapshots (morning, immutable)",2026-07-15T08:46:03.598813+00:00,2026_07_15_aef63056_1784105122721,STRICT_PRE_RACE_PROVEN,fdfcffcef4c8f164fb797b124f302d226fb57aaa0a91c03ae125b8ab6d66b82b
924614,Killarney,7.00,OLD_VELO,main,Green Carrera,7204928,1,0.392,A,VISION_ONLY,3.0,2,False,"runner_snapshots (morning, immutable)",2026-07-15T08:46:03.598813+00:00,2026_07_15_aef63056_1784105122721,STRICT_PRE_RACE_PROVEN,3b61355c482e2f453264bd63b1b78dc45c3df872ac2e5e94df4ad2dc86f0100d
923107,Yarmouth,7.10,OLD_VELO,main,Spaceage Love Song,6193156,1,0.583,A,VISION_ONLY,3.0,2,False,"runner_snapshots (morning, immutable)",2026-07-15T08:46:03.598813+00:00,2026_07_15_aef63056_1784105122721,STRICT_PRE_RACE_PROVEN,7ed1e077caae944ac2a86876a3ecc1ae6a8f6ff9d83e26de16c1d4c109f77176
923101,Lingfield,7.50,OLD_VELO,main,Real Gold,8058105,1,0.6903,A,VISION_ONLY,4.5,3,False,"runner_snapshots (morning, immutable)",2026-07-15T08:46:03.598813+00:00,2026_07_15_aef63056_1784105122721,STRICT_PRE_RACE_PROVEN,20806b87957ca02ef104adb221912a7f119528aa7c6535fc1cb93f2496b80afb
