Name,Year,Sex,Sire,Dam,Trainer,"Flat rating","Diff Flat","Flat Clltrl","AWT rating","Diff AWT","AWT Clltrl","Chase rating","Diff Chase","Chase Clltrl","Hurdle rating","Diff Hurdle","Hurdle Clltrl"
"GALLANT LION (GB)",2020,GELDING,"ROARING LION (USA)","LYSANDA (GER)","Ian Williams",69,+3,,,,,,,,100,,
"GALOP DE CHASSE (FR)",2016,GELDING,"BORIS DE DEAUVILLE (IRE)","MOUSSE DES BOIS (FR)","Venetia Williams",,,,,,,120,+1,collateral,,,
"GANTHORPE (GB)",2023,GELDING,"DREAM AHEAD (USA)","AETNA (GB)","Michael & David Easterby",49,+2,,,,,,,,,,
"GARDEN OASIS (GB)",2015,GELDING,"EXCELEBRATION (IRE)","QUEEN ARABELLA (GB)","Tim Easterby",74,-1,,,,,,,,,,
"GATEAU DE MIEL (FR)",2016,GELDING,"APSIS (GB)","VIE SA VIE (FR)","Fergal O'Brien",,,,,,,115,+7,,,,
"GEMICAL (IRE)",2023,FILLY,"MAGNA GRECIA (IRE)","SALVE LIBERTE (IRE)","Rebecca Menzies",55,-3,,,,,,,,,,
"GENNADIUS (GB)",2022,GELDING,"ULYSSES (IRE)","GEMINA (IRE)","Richard Hannon",65,-2,,,,,,,,,,
"GENTLE WARRIOR (IRE)",2022,GELDING,"MOHAATHER (GB)","GENTLE ON MY MIND (IRE)","K. R. Burke",75,-2,,,,,,,,,,
"GENTLEMAN JOE (GB)",2018,GELDING,"AUTHORIZED (IRE)","BELLA LULU (GB)","Matt Crawley",86,-3,,,,,,,,108,,
"GEORDIE NIGHT (GB)",2019,GELDING,"GEORDIELAND (FR)","NIGHT SYMPHONIE (GB)","Nick Kent",,,,,,,,,,93,-1,
"GEORGIA'S CHARM (IRE)",2020,FILLY,"ORDER OF ST GEORGE (IRE)","REILLYS DAUGHTER (GB)","Fergal O'Brien",,,,,,,,,,83,-3,
"GEORGIE'S MALT (GB)",2020,FILLY,"ORDER OF ST GEORGE (IRE)","MRS MALT (IRE)","Ewan Whillans",,,,,,,,,,82,-1,
"GET A SUPERSTAR (IRE)",2018,GELDING,"GETAWAY (GER)","GLENARIFF (GB)","Dr Richard Newland & Jamie Insole",,,,,,,91,+3,,,,
"GET OUTTA HERE (FR)",2023,GELDING,"ZELZAL (FR)","ARTIFIX (IRE)","David Menuisier",76,+6,,,,,,,,,,
"GET UP EVERYBODY (IRE)",2022,GELDING,"INVINCIBLE ARMY (IRE)","LAILA HONIWILLOW (GB)","Paul Midgley",60,-1,,,,,,,,,,
"GETHIN (IRE)",2022,COLT,"GHAIYYATH (IRE)","ANISEED (IRE)","Owen Burrows",117,+4,,,,,,,,,,
"GETONE (IRE)",2019,GELDING,"GETAWAY (GER)","ONEWAYORANOTHER (IRE)",,,,,,,,,,,83,-5,
"GHADRA (IRE)",2023,FILLY,"INVINCIBLE SPIRIT (IRE)","CRISTAL FASHION (IRE)",,44,-1,,,,,,,,,,
"GHOST JURY (IRE)",2019,FILLY,"JUKEBOX JURY (IRE)","REVELLING (IRE)","Kayley Woollacott",,,,,,,,,,78,new,
"GIDDYUPADINGDONG (IRE)",2020,GELDING,"EL KABEIR (USA)","WIND INHER SLEEVES (USA)","Neil Mulholland",,,,,,,,,,85,-3,
"GILES GLORY (IRE)",2023,GELDING,"COTAI GLORY (GB)","IMPERIAL BUTTERFLY (IRE)","Tom Ellis",52,-1,,,,,,,,,,
"GIRLS ALLOWED (IRE)",2023,FILLY,"ALKUMAIT (GB)","ATLANTEIA (IRE)","Julia & Shelley Birkett",46,-1,,,,,,,,,,
"GLEN BUCK (IRE)",2019,GELDING,"LOPE DE VEGA (IRE)","PECKING ORDER (IRE)","Roger Varian",94,new,,,,,,,,,,
"GLENFINNAN (IRE)",2020,GELDING,"HARRY ANGEL (IRE)","FATANAH (IRE)","Michael Dods",79,+1,,,,,,,,,,
"GLENGOULY (FR)",2016,GELDING,"COASTAL PATH (GB)","ROULMAPOULE (FR)","Faye Bramley",,,,,,,135,+7,,,,
"GLORIOUS KITTY (IRE)",2022,FILLY,"COTAI GLORY (GB)","DESTINY'S KITTEN (IRE)","Michael & David Easterby",69,+1,,,,,,,,,,
"GLORY AND HONOUR (IRE)",2016,GELDING,"ELUSIVE PIMPERNEL (USA)","ON KHEE (GB)","Sam England",64,,,,,,115,,,110,new,
"GLOWCHESTER (GB)",2021,FILLY,"MASSAAT (IRE)","PIRANHA (IRE)","Ivan Furtado",60,new,,,,,,,,,,
"GNOCCHI (IRE)",2023,FILLY,"SUPREMACY (IRE)","SAR OICHE (IRE)","James Horton",59,-1,,,,,,,,,,
"GO FOR GOLD (GB)",2023,FILLY,"HAVANA GOLD (IRE)","PLAY STREET (GB)","Jonathan Portman",49,-2,,,,,,,,,,
"GOLDEN CIRCET (IRE)",2020,GELDING,"RAJJ (IRE)","ROSILIPSCURVEHIPS (GB)","Jim & Suzi Best",73,-1,,,,,,,,91,,
"GOLDEN KNIGHT (IRE)",2023,COLT,"CAMELOT (GB)","BYE BYE BIRDIE (IRE)","Ed Walker",87,new,,,,,,,,,,
"GOLDEN MABEL (GB)",2023,FILLY,"MASSAAT (IRE)","CALEDONIAN GOLD (GB)","Lisa Williamson",60,+5,,,,,,,,,,
"GOLDEN PROSPERITY (IRE)",2019,GELDING,"GALILEO GOLD (GB)","APRIL (IRE)","Tony Coyle & Kaine Wood",50,-2,,,,,,,,,,
"GOODWIN FACE (FR)",2020,GELDING,"NO RISK AT ALL (FR)","ROSE BOMBON (FR)","Chris Gordon",,,,,,,,,,103,+8,
"GORCOMBE MOONSHINE (GB)",2017,GELDING,"ALQAAHIR (USA)","SEEMMA (GB)","Robert Walford",,,,,,,76,-1,,,,
"GOREY GOLD (IRE)",2023,GELDING,"GALILEO GOLD (GB)","COLUMBIA KID (IRE)","Jonathan Portman",79,-2,,,,,,,,,,
"GORVENNEC (FR)",2019,GELDING,"MARTALINE (GB)","ROLANDALE (FR)","N. W. Alexander",,,,,,,85,-5,,85,-5,
"GOT GREY (FR)",2019,GELDING,"OUTSTRIP (GB)","LOVELY BEST (FR)","James Moffatt",,,,,,,111,-1,,,,
"GOZO (IRE)",2020,GELDING,"COTAI GLORY (GB)","MALTA (USA)","Andrew Hamilton",67,,,,,,,,,79,-5,
"GRAND CITADEL (IRE)",2021,FILLY,"RIBCHESTER (IRE)","ANDORRA (GB)","Micky Fenton",56,+2,,,,,,,,,,
"GRAND CLERMONT (FR)",2016,GELDING,"MARESCA SORRENTO (FR)","FLO DE CLERMONT (FR)","David Pipe",,,,,,,122,+10,,,,
"GRANT WOOD (IRE)",2019,GELDING,"CARAVAGGIO (USA)","AZAGBA (FR)","Paul Midgley",81,-1,,,,,,,,,,
"GREAT D'ANGE (FR)",2016,GELDING,"GREAT PRETENDER (IRE)","VICKX (FR)","Alexander Gibbons",,,,,,,97,,,83,-4,
"GREAT SUCCESS (GB)",2023,GELDING,"IFFRAAJ (GB)","BEAUTIFUL NEWS (GB)","Richard & Peter Fahey",60,-5,,,,,,,,,,
"GREEK ORDER (GB)",2020,GELDING,"KINGMAN (GB)","TROJAN QUEEN (USA)","Michael Bell",90,-2,,,,,,,,,,
"GREEN TEAM (FR)",2019,GELDING,"WOOTTON BASSETT (GB)","ON THE LINE (FR)","Nick Littmoden",65,+4,,,,,,,,,,
"GREER HILL (IRE)",2021,GELDING,"JET AWAY (GB)","SHE'S ON THE CASE (IRE)","Jennie Candlish",,,,,,,,,,85,-4,
"GRESSINGTON (IRE)",2021,GELDING,"OUTSTRIP (GB)","SILVER GAMES (IRE)","Katie Scott",71,-3,,,,,,,,,,
"GREY FOX (IRE)",2017,GELDING,"GUTAIFAN (IRE)","BOUCHERON (GB)","Emma Lavelle",68,new,,,,,,,,,,
"GREY HORIZON (GB)",2023,COLT,"HAVANA GREY (GB)","SHARLA (GB)","Scott Dixon",74,+3,,,,,,,,,,
"GRIZEDALE (GB)",2022,GELDING,"ZOUSTAR (AUS)","PENNY DROPS (GB)","Daniel & Claire Kubler",85,-1,collateral,,,,,,,,,
"GUITAR SOLO (GB)",2023,FILLY,"SHOWCASING (GB)","AMPLIFIER (GB)","Richard Hannon",74,new,,,,,,,,,,
"GUNFIGHTER (IRE)",2021,GELDING,"SIYOUNI (FR)","RAINBOW HEART (IRE)","John Butler",68,-2,,,,,,,,,,
"GUNSIGHT RIDGE (GB)",2015,GELDING,"MIDNIGHT LEGEND (GB)","GRANDMA GRIFFITHS (GB)","Mike Sowersby",,,,,,,134,-2,,,,
"GUSTAVO GOODWAY (IRE)",2018,GELDING,"SAGEBURG (IRE)","CHRISTINA (IRE)","Joanne Foster",,,,,,,,,,81,-5,
"GWEN TENNYSON (IRE)",2023,FILLY,"STARMAN (GB)","GWEN LADY BYRON (IRE)","Gemma Tutty",59,new,,,,,,,,,,
"GWENNIE MAY BOY (IRE)",2018,GELDING,"MAHLER (GB)","SAMSHA (IRE)","Christian Williams",,,,,,,,,,142,-2,collateral
"GWENNIE MAY STAR (FR)",2020,GELDING,"MASTERSTROKE (USA)","GRANDE SYMPHONIE (FR)","Christian Williams",,,,,,,,,,113,-2,
"HAMADHAN (IRE)",2022,COLT,"LOPE DE VEGA (IRE)","HAMARIYNA (IRE)","Jennie Candlish",75,-5,,,,,,,,,,
"HANDMEDOWNASTAR (IRE)",2020,GELDING,"DIAMOND BOY (FR)","BREAFFY HOUSE LADY (IRE)","Seamus Mullins",,,,,,,,,,115,+5,
"HAPPY CHANDLER (GB)",2021,GELDING,"AL KAZEEM (GB)","KENTUCKY BELLE (IRE)","Michael Blake",58,+2,,,,,,,,,,
"HAREL DU MARAIS (FR)",2017,GELDING,"AL NAMIX (FR)","URBI ET ORBI (FR)","Charles & Adam Pogson",,,,,,,109,,,109,new,
"HARLEQUIN BREEZE (IRE)",2023,FILLY,"NEW BAY (GB)","SACRED RHYME (IRE)","Jane Chapple-Hyam",90,+6,,,,,,,,,,
"HARLEY'S PRIDE (IRE)",2020,FILLY,"JET AWAY (GB)","CLOUD BREAK (GB)","Nick Scholfield",,,,,,,,,,88,+1,
"HARLINGTON (FR)",2021,GELDING,"HUNTER'S LIGHT (IRE)","LOG OFF (IRE)","Charlie Clover",72,-1,,,,,,,,,,
"HARSWELL RIVER (IRE)",2023,FILLY,"RIVER BOYNE (IRE)","PRINCESSE EVA (FR)","Roger Fell",50,-1,,,,,,,,,,
"HATAMOTO (GB)",2023,GELDING,"TASLEET (GB)","VOTE OFTEN (GB)","Tim Easterby",55,-1,,,,,,,,,,
"HATOS (FR)",2017,GELDING,"DIAMOND BOY (FR)","SANTALISA (FR)","Joe Tizzard",,,,,,,86,+3,,,,
"HATOUR (IRE)",2023,FILLY,"SIOUX NATION (USA)","ZA'HARA (IRE)","John & Thady Gosden",77,new,,,,,,,,,,
"HAVANA BLUE (GB)",2020,GELDING,"HAVANA GREY (GB)","EXRATING (GB)","Julie Camacho",79,-1,,,,,,,,,,
"HAVANA JOY (GB)",2022,FILLY,"HAVANA GREY (GB)","JOQUINA (IRE)","Charles Hills",55,-5,,,,,,,,,,
"HAVANA RUM (IRE)",2020,GELDING,"HAVANA GREY (GB)","URBAN HUNT (IRE)","Richard & Peter Fahey",80,-2,,,,,,,,,,
"HAVANA SMILE (GB)",2023,GELDING,"HAVANA GREY (GB)","ABUNDANT MOON (IRE)","Gary & Josh Moore",77,+5,,,,,,,,,,
"HAVEAGOBEAU (GB)",2019,GELDING,"BRAZEN BEAU (AUS)","JETHOU ISLAND (GB)","Jim Boyle",51,-1,,,,,,,,,,
"HAVIN A FLYER (GB)",2023,FILLY,"HAVANA GREY (GB)","NANTOSUELTA (IRE)","Rebecca Menzies",50,-2,,,,,,,,,,
"HAYYNAH (GB)",2023,FILLY,"SHOWCASING (GB)","PLATINUM PEARL (GB)","Ollie Sangster",78,-2,,,,,,,,,,
"HEAD FOR FREEDOM (GB)",2023,GELDING,"IFFRAAJ (GB)","MY PROPELLER (IRE)","Michael & David Easterby",62,-2,,,,,,,,,,
"HEAD GIRL (GB)",2023,FILLY,"TIME TEST (GB)","GREAT AND SMALL (GB)","Jonathan Portman",53,+1,,,,,,,,,,
"HEART ABOVE (GB)",2018,GELDING,"SHIROCCO (GER)","COOL BARANCA (GER)","Dianne Sayer",,,,,,,,,,107,+3,
"HEARTENED (IRE)",2022,FILLY,"CAMACHO (GB)","DUNA (GER)","Ollie Pears",48,+1,,,,,,,,,,
"HEDGE FUND (IRE)",2021,GELDING,"PROFITABLE (IRE)","ESCALLONIA (IRE)","Michael Appleby",71,-3,,,,,,,,,,
"HELSGETAWAY (IRE)",2019,GELDING,"GETAWAY (GER)","HELTORNIC (IRE)","Lucinda Russell & Michael Scudamore",,,,,,,,,,93,+1,
"HENFIELD (GB)",2023,FILLY,"CITYSCAPE (GB)","MAZIKEEN (GB)","Karen Jewell",48,-2,,,,,,,,,,
"HENGEST (GB)",2022,GELDING,"NIGHT OF THUNDER (IRE)","CONTRIBUTION (GB)","Dylan Cunha",82,+4,,,,,,,,,,
"HENRY TUDOR (GB)",2022,GELDING,"HAVANA GREY (GB)","HELLO GLORY (GB)","Mark Hoad",51,-1,,,,,,,,,,
"HEWI (GB)",2023,FILLY,"ARDAD (IRE)","SEPARATE (GB)","Julie Camacho",62,-1,,,,,,,,,,
"HICKORY (IRE)",2018,GELDING,"FREE EAGLE (IRE)","BADR AL BADOOR (IRE)","Jamie Osborne",95,-1,,,,,,,,,,
"HIGH APPROVAL (IRE)",2023,GELDING,"MEHMAS (IRE)","UNSINKABLE SAM (GB)","Hamad Al Jehani",72,-2,,,,,,,,,,
"HIGH DANCER (GB)",2020,GELDING,"NORSE DANCER (IRE)","UP HIGH (GB)","Nicky Richards",,,,,,,,,,116,+3,
"HIGH POINT (IRE)",2021,GELDING,"NEW BAY (GB)","PACHARANA (GB)","Ross Burdon",76,-2,,,,,,,,,,
"HIGH STORM (GB)",2023,GELDING,"NATHANIEL (IRE)","LA MORTOLA (GB)","K. R. Burke",82,-2,,,,,,,,,,
"HILLVIEW (IRE)",2016,GELDING,"FRUITS OF LOVE (USA)","DA DAS DELIGHT (IRE)","Gary Hanmer",,,,,,,,,,109,-3,
"HIMSELF (IRE)",2022,GELDING,"COULSTY (IRE)","COCOHULABABY (IRE)","Philip Kirby",57,-3,,60,new,,,,,,,
"HITCHED (IRE)",2020,GELDING,"COTAI GLORY (GB)","NEWLYWED (IRE)","David Simcock",76,-2,,,,,,,,,,
"HOLBACHE (GB)",2018,GELDING,"COACH HOUSE (IRE)","BY RIGHTS (GB)","Julie Camacho",75,+10,,,,,,,,,,
"HOPE RISING (IRE)",2021,FILLY,"PHOENIX OF SPAIN (IRE)","JELLICLE BALL (IRE)","Jamie Snowden",,,,,,,,,,116,+2,
"HORU KANU (GB)",2023,GELDING,"SANDS OF MALI (FR)","FAORA (USA)","Richard & Peter Fahey",70,-2,,,,,,,,,,
"HORWICH (GB)",2023,GELDING,"MAYSON (GB)","HILLDALE (GB)","Ruth Carr",63,-1,,,,,,,,,,
"HOSEKI (IRE)",2023,FILLY,"SAXON WARRIOR (JPN)","SEA KARATS (IRE)","William Haggas",78,new,,,,,,,,,,
"HOSTELRY (GB)",2017,FILLY,"COACH HOUSE (IRE)","QUEENS JUBILEE (GB)","Ruth Carr",55,-1,,,,,,,,,,
"HOSTILITY (IRE)",2022,GELDING,"NO NAY NEVER (USA)","GALLITEA (IRE)","David O'Meara",62,+1,,,,,,,,,,
"HOWTH (IRE)",2019,GELDING,"CHURCHILL (IRE)","MUWAKABA (USA)","Tom Lacey",,,,,,,,,,126,new,
"HUMBLE SPARK (IRE)",2020,GELDING,"ACCLAMATION (GB)","MAIDEN APPROACH (GB)","Jim Goldie",77,-1,,,,,,,,,,
"HUNTERIAN (IRE)",2023,COLT,"STUDY OF MAN (IRE)","TOTTIE (GB)","Charlie Johnston",60,-1,,,,,,,,,,
"HURRICANE ANN (GB)",2023,FILLY,"ACLAIM (IRE)","LA ARCADIA (FR)","Peter Chapple-Hyam",52,-2,,,,,,,,,,
"HURSTWOOD (GB)",2017,GELDING,"DARK ANGEL (IRE)","HAIGH HALL (GB)","Peter Niven",52,-1,,,,,,,,,,
"HUSCAL (IRE)",2022,GELDING,"SAXON WARRIOR (JPN)","GRAVITY QUEEN (IRE)","Charles Hills",82,-2,,,,,,,,,,
"HYRCANIAN (IRE)",2021,FILLY,"BUNGLE INTHEJUNGLE (GB)","NAADRAH (GB)","Ron Barr",39,-1,,,,,,,,,,
"I AM THE MOON (GB)",2019,FILLY,"PETHER'S MOON (IRE)","MIDNIGHT TOUR (GB)","Nigel & Willy Twiston-Davies",,,,,,,102,new,,108,,
"I'D GO MANIAC (FR)",2019,GELDING,"BOW CREEK (IRE)","SAINT GOUSTAN (FR)","Alan King",69,-1,,,,,,,,,,
"I'LL BE BACK (IRE)",2023,COLT,"LOPE DE VEGA (IRE)","HASTALAVISTABABY (FR)","K. R. Burke",92,+2,collateral,,,,,,,,,
"I'M DAN DARE (GB)",2023,GELDING,"DREAM AHEAD (USA)","TWEET TWEET (GB)","Mark Walford",63,+8,,,,,,,,,,
"IAMYOUARE (IRE)",2020,FILLY,"JUKEBOX JURY (IRE)","CHRISTINA (IRE)","Donald McCain",,,,,,,,,,105,-2,
"IF NOT FOR DYLAN (IRE)",2015,GELDING,"DOYEN (IRE)","EXIT STAGE LEFT (IRE)",,,,,,,,115,-2,,,,
"IMELDA (IRE)",2023,FILLY,"INVINCIBLE SPIRIT (IRE)","PELOSI (IRE)","David Loughnane",70,new,,,,,,,,,,
"IMPERIAL ALEX (IRE)",2017,GELDING,"IMPERIAL MONARCH (IRE)","WHAT CAN I SAY (IRE)","Tom Lacey",,,,,,,122,+3,,,,
"IMPERIAL DATA (IRE)",2017,GELDING,"IMPERIAL MONARCH (IRE)","RINDOON'S SISTER (IRE)","Rebecca Menzies",,,,,,,,,,122,-3,
"IMPERIAL IMP (IRE)",2016,GELDING,"IMPERIAL MONARCH (IRE)","ARDSALLAGH'S LARK (IRE)","Annabelle Sowray",,,,,,,80,-5,,80,-5,
"IMPERIAL RULE (IRE)",2017,GELDING,"IMPERIAL MONARCH (IRE)","OUR NED (IRE)","Lizzie Quinlan",,,,,,,101,+1,collateral,,,
"IMPERIAL SOVEREIGN (IRE)",2021,GELDING,"FRANKEL (GB)","IMPERIAL CHARM (GB)","Philip Kirby",78,-2,,,,,,,,,,
"IN A HURRY (GB)",2022,FILLY,"TIME TEST (GB)","TIGHT LINES (GB)","David O'Meara",67,-3,,,,,,,,,,
"IN THE AIR (FR)",2018,GELDING,"COASTAL PATH (GB)","SABLY (FR)","Alastair Ralph",,,,,,,120,-1,,115,-3,
"IN THE CITY (GB)",2022,GELDING,"SHOWCASING (GB)","ENCHANTED LINDA (GB)","Warren Greatrex",67,-4,,,,,,,,,,
"INCA HEIGHTS (IRE)",2023,GELDING,"NANDO PARRADO (GB)","KITTY SOFTPAWS (IRE)","Clive Cox",82,-3,,,,,,,,,,
"INDIAN SPIRIT (IRE)",2022,GELDING,"INVINCIBLE SPIRIT (IRE)","BONGIORNO (IRE)","Ian Williams",78,-3,,,,,,,,,,
"INFERNO (GB)",2023,GELDING,"TORONADO (IRE)","QUIET (GB)","Edward Bethell",65,-3,,,,,,,,,,
"INISHBEG (IRE)",2023,COLT,"GHAIYYATH (IRE)","LAJATICO (GB)","Kevin Ryan",83,-2,,,,,,,,,,
"INTENZO (FR)",2021,GELDING,"FRENCH FIFTEEN (FR)","ISABILIA (IRE)","Mark Walford",,,,,,,99,+3,,,,
"IP UP (FR)",2018,FILLY,"SECRET SINGER (FR)","UPISLAND (FR)","Jedd O'Keeffe",,,,,,,,,,107,-3,
"IRISH DANCER (IRE)",2020,GELDING,"GALILEO GOLD (GB)","CATAMARAN (IRE)","Declan Carroll",58,-1,collateral,,,,,,,,,
"ISLAND HERO (IRE)",2022,GELDING,"SOTTSASS (FR)","CASERTA (GB)","Heather Main",72,new,,,,,,,,,,
"ITWASFATE (GB)",2017,GELDING,"PASSING GLANCE (GB)","GRANDMA GRIFFITHS (GB)","R. Mike Smith",,,,,,,111,new,,,,
"IVANE (FR)",2018,GELDING,"NETWORK (GER)","UVANANA (FR)","James Owen",,,,,,,117,-2,,,,
"IZZY FAST (GB)",2022,FILLY,"LAND FORCE (IRE)","GHEDI (IRE)","Philip McBride",68,-2,,,,,,,,,,
"IZZY'S GREY (IRE)",2019,GELDING,"JUKEBOX JURY (IRE)","SHAMBLE STREET (IRE)","Belinda Clarke",,,,,,,,,,81,-2,
"JACK RABBIT SLIMS (GB)",2023,GELDING,"ACLAIM (IRE)","VELVET JAGUAR (GB)","Tony Coyle & Kaine Wood",58,-3,,,,,,,,,,
"JACK SPAROWE (IRE)",2019,GELDING,"ZOFFANY (IRE)","RED STARS (IRE)","John Butler",69,+2,,,,,,,,,,
"JACK SPRAT (IRE)",2018,GELDING,"WALK IN THE PARK (IRE)","HELL CAT MAGGIE (IRE)","James Moffatt",,,,,,,,,,98,-4,
"JACKSTELL (FR)",2019,GELDING,"NO RISK AT ALL (FR)","PRESTELLE (FR)","Jamie Snowden",,,,,,,,,,115,-1,
"JACQUETTA (IRE)",2021,GELDING,"CRYSTAL OCEAN (GB)","LIKE AN OPEN BOOK (IRE)","Gary & Josh Moore",,,,,,,,,,82,+2,
"JAMAICAN STORM (GB)",2022,GELDING,"HAVANA GREY (GB)","MORANT BAY (IRE)","Bryan Smart",62,-2,,,,,,,,,,
"JAMES MCHENRY (GB)",2020,GELDING,"STARSPANGLEDBANNER (AUS)","SAVVY (IRE)","Edward Bethell",86,-3,,,,,,,,,,
"JANWORTH (GB)",2017,FILLY,"NORSE DANCER (IRE)","BUXOM (IRE)","Jamie Snowden",,,,,,,,,,101,new,
"JAZL (IRE)",2023,GELDING,"NO NAY NEVER (USA)","MUMMY BEAR (IRE)","Simon & Ed Crisford",95,+10,,,,,,,,,,
"JEANY MAY (GB)",2022,FILLY,"MAYSON (GB)","JEANY (IRE)","Nigel Tinkler",48,-2,,,,,,,,,,
"JEZ BOMB (GB)",2021,GELDING,"HUNTER'S LIGHT (IRE)","CHERINA DYNAMITE (SPA)","Sam England",74,-1,,,,,,,,,,
"JOJO RABBIT (GB)",2018,GELDING,"DUE DILIGENCE (USA)","BERKSHIRE HONEY (GB)","Ruth Carr",66,-1,,,,,,,,,,
"JOLISSAINT (FR)",2019,FILLY,"KAPGARDE (FR)","CLAMEUR DES OBEAUX (FR)","Christian Williams",,,,,,,,,,85,new,
"JOLTIN N JIVING (IRE)",2020,GELDING,"COURT CAVE (IRE)","DRUMDERRY (IRE)","Donald McCain",,,,,,,118,new,,118,,
"JORDAN ELECTRICS (GB)",2016,GELDING,"DANDY MAN (IRE)","RUBY SLIPPERS (GB)","Jim Goldie",86,-2,,,,,,,,,,
"JOYCEAN WAY (GB)",2021,GELDING,"ULYSSES (IRE)","SACRE CAROLINE (USA)","Gary & Josh Moore",54,+2,,,,,,,,,,
"JUAN BERMUDEZ (GB)",2019,GELDING,"NATHANIEL (IRE)","LONG FACE (USA)","Henry Oliver",,,,,,,,,,110,+3,
"JUBERTILEE (IRE)",2017,GELDING,"MAHLER (GB)","OSCAR'S MATE (IRE)","Dean Summersby",,,,,,,,,,90,+1,
"JUBILANT (FR)",2019,GELDING,"DOCTOR DINO (FR)","A MERVEILLE (FR)","James Owen",,,,,,,122,,,120,+5,
"JUDICATURE (GB)",2022,GELDING,"INVINCIBLE SPIRIT (IRE)","MAGICAL JOURNEY (IRE)","Joel Parkinson & Sue Smith",67,-1,,,,,,,,,,
"JUNGLE WOOD (FR)",2019,GELDING,"COKORIKO (FR)","A DORMIR DEBOUT (FR)","Sara Bradstock",,,,,,,,,,87,-1,
"JUST A GIRL (GB)",2023,FILLY,"BOBBY'S KITTEN (USA)","MULLEIN (GB)","Charlie Johnston",83,+1,,,,,,,,,,
"JUST A MEMORY (FR)",2019,FILLY,"MUHTATHIR (GB)","L'AULNIERE (FR)","Fergal O'Brien",,,,,,,92,,,92,new,
"JUSTCALLMEPETE (GB)",2019,GELDING,"BATED BREATH (GB)","FIRENZE (GB)","Tony Carroll",86,+3,,,,,,,,,,
"JUSTLIKEFIRE (GB)",2019,GELDING,"DOYEN (IRE)","FIREY WITNESS (IRE)","Jennie Candlish",,,,,,,,,,93,-2,
"KALIKAPOUR (IRE)",2020,GELDING,"LOPE DE VEGA (IRE)","KALAXANA (IRE)","John Wainwright",53,-2,,,,,,,,,,
"KAMEEL (GB)",2022,GELDING,"TWILIGHT SON (GB)","ESTOURNEL (GB)","Jessica Macey",56,+1,,,,,,,,,,
"KAMEKO FEVER (IRE)",2023,GELDING,"KAMEKO (USA)","HOT FLUSH (IRE)","Richard & Peter Fahey",62,-2,,,,,,,,,,
"KATS BOB (GB)",2018,GELDING,"BOBBY'S KITTEN (USA)","DREAMING OF STELLA (IRE)","Ruth Carr",77,-1,collateral,,,,,,,,,
"KAYCE DUTTON (IRE)",2018,GELDING,"OCOVANGO (GB)","CASE HARDENED (IRE)","Charles & Adam Pogson",,,,,,,106,-2,,,,
"KEEP IT CLASSIC (GB)",2023,GELDING,"TOO DARN HOT (GB)","I'M SO FANCY (IRE)","William Haggas",52,-1,,,,,,,,,,
"KEN BRULEE (GB)",2023,GELDING,"UBETTABELIEVEIT (IRE)","KINDLY (GB)","Mark Usher",55,+6,,,,,,,,,,
"KENTO (GB)",2021,GELDING,"KUROSHIO (AUS)","JILLOLINI (GB)","Tony Carroll",56,+4,,,,,,,,,,
"KHALEEJY (IRE)",2021,GELDING,"SEA THE STARS (IRE)","OPAL HEART (IRE)","Ismail Mohammed",87,new,,,,,,,,,,
"KILLAVIA (GB)",2023,FILLY,"HAVANA GREY (GB)","KILLERMONT STREET (IRE)","Rod Millman",83,-2,,,,,,,,,,
"KILLYBEGS JET LADY (IRE)",2017,FILLY,"JET AWAY (GB)","LITTLE TWINKLE (IRE)","Lucinda Russell & Michael Scudamore",,,,,,,96,+6,,,,
"KILMORE ROCK (IRE)",2019,GELDING,"SHIROCCO (GER)","CHAMPAYNE HALLIE (IRE)","Susan Corbett",,,,,,,,,,112,-1,
"KIMEKO GLORY (GB)",2022,FILLY,"KAMEKO (USA)","APPLAUSE (IRE)","Charles Hills",73,-2,,,,,,,,,,
"KINBARA FIRSTDRAFT (IRE)",2019,GELDING,"KOROPICK (IRE)","KIMBERELY BAY (IRE)","Leonard Kerr",,,,,,,103,new,,110,new,
"KING OF CHAOS (IRE)",2023,GELDING,"SHOWCASING (GB)","ZEYRAN (IRE)","Dylan Cunha",66,-2,,,,,,,,,,
"KING OF CHARM (GB)",2021,GELDING,"CHARMING THOUGHT (GB)","ERMYNTRUDE (GB)","Martin Dunne",59,+1,,,,,,,,,,
"KING OF THE DANCE (IRE)",2019,GELDING,"HAVANA GOLD (IRE)","FIGURANTE (IRE)","Bernard Llewellyn",50,-2,,,,,,,,,,
"KING OF THE JUNGLE (IRE)",2020,GELDING,"BUNGLE INTHEJUNGLE (GB)","BONNE (GB)","Michael & David Easterby",59,+6,,,,,,,,,,
"KING'S HAND (GB)",2022,GELDING,"KINGMAN (GB)","ENTITY (GB)","Joseph Parr",75,+2,,,,,,,,,,
"KING'S TRUST (GB)",2023,GELDING,"KINGMAN (GB)","AWARD SCHEME (GB)","John & Thady Gosden",82,-1,,,,,,,,,,
"KINGOFTHEGAME (IRE)",2018,GELDING,"KINGSTON HILL (GB)","SAND LADY (GB)","Martin Todhunter",,,,,,,75,,,84,+9,
"KINGS MERCHANT (GB)",2021,GELDING,"BATED BREATH (GB)","RHOSSILI DOWN (GB)","Philip Kirby",63,-1,,,,,,,,,,
