Name,Year,Sex,Sire,Dam,Trainer,"Flat rating","Diff Flat","Flat Clltrl","AWT rating","Diff AWT","AWT Clltrl","Chase rating","Diff Chase","Chase Clltrl","Hurdle rating","Diff Hurdle","Hurdle Clltrl"
"ASSORDA (FR)",2020,FILLY,"CHOEUR DU NORD (FR)","MAYZIE JAY FLYING (FR)","John Wainwright",,,,,,,,,,88,-5,
"ASTRACORNUS (GB)",2023,GELDING,"GOLDEN HORN (GB)","ASTRAGAL (GB)","David Menuisier",67,new,,,,,,,,,,
"ASTRAZAR (IRE)",2023,GELDING,"STARMAN (GB)","ZARA MAC (IRE)","Ed Walker",83,-2,,,,,,,,,,
"AT SUNRISE (GB)",2021,FILLY,"FLAG OF HONOUR (IRE)","AT FIRST LIGHT (GB)","David Weston",,,,,,,,,,75,new,
"AUBURN AVENUE (IRE)",2021,FILLY,"PHOENIX OF SPAIN (IRE)","BINT MALYANA (IRE)","John & Rhys Flint",65,new,,,,,,,,,,
"AUKUS (IRE)",2023,FILLY,"AUSTRALIA (GB)","APTICANTI (USA)","Ralph Beckett",70,new,,,,,,,,,,
"AUNTIE JO (GB)",2022,FILLY,"HAVANA GREY (GB)","MARY STEWART (IRE)","David O'Meara",52,+2,,,,,,,,,,
"AURORA'S DOUBLESIX (IRE)",2022,FILLY,"DANDY MAN (IRE)","LATE ROSEBUD (IRE)","Brian Rothwell",43,-1,,,,,,,,,,
"AUSPICIOUS (GB)",2023,GELDING,"AWTAAD (IRE)","KILBAHA LADY (IRE)","Nigel Tinkler",53,+1,,,,,,,,,,
"AUSTRIAN THEORY (IRE)",2019,GELDING,"AWTAAD (IRE)","CEDAR SEA (IRE)","Tim Easterby",74,-3,,,,,,,,,,
"AY UP DUCK (GB)",2023,GELDING,"EARTHLIGHT (IRE)","FOUNTAIN OF TIME (IRE)","Michael Appleby",78,-2,,,,,,,,,,
"AZANIYA (IRE)",2022,FILLY,"NIGHT OF THUNDER (IRE)","AZANARA (IRE)","Owen Burrows",108,-2,,,,,,,,,,
"BACK TO ME (IRE)",2023,GELDING,"MAGNA GRECIA (IRE)","NAZAAHA (IRE)","Ben Haslam",85,+3,,,,,,,,,,
"BADRI (GB)",2017,GELDING,"DARK ANGEL (IRE)","PENNY DROPS (GB)","Michael Herrington",90,+3,,,,,,,,,,
"BALLYHIHO (IRE)",2020,FILLY,"JUKEBOX JURY (IRE)","MERRY TESS (IRE)","D. J. Jeffreys",,,,,,,96,+4,,94,,
"BALLYNAHEER (IRE)",2019,GELDING,"MAHLER (GB)","BALLYNAGALL (IRE)","David Dennis",,,,,,,106,-1,,,,
"BALTIC (GB)",2020,GELDING,"FRANKEL (GB)","BALTIC BEST (IRE)","Lucy Wadham",76,-3,,,,,,,,,,
"BANDERAS (IRE)",2020,GELDING,"LOPE DE VEGA (IRE)","GLAMOROUS APPROACH (IRE)","Sam England",73,new,,,,,,,,117,,
"BANKSMAN (GB)",2022,GELDING,"RUMBLE INTHEJUNGLE (IRE)","DONNA RAY (GB)","Sheena West",50,-3,,,,,,,,82,,
"BANTZ (IRE)",2022,GELDING,"KODIAC (GB)","SHIFTING (IRE)","Alan Brown",50,-2,,,,,,,,,,
"BARLEY (IRE)",2019,GELDING,"MEHMAS (IRE)","CORNAKILL (USA)","Tim Easterby",68,+2,,,,,,,,,,
"BARMYBLADE (IRE)",2022,GELDING,"KODIAC (GB)","MAROUBRA (FR)","Tim Easterby",50,-1,,,,,,,,,,
"BARNSNAPE BOY (GB)",2021,GELDING,"IFFRAAJ (GB)","SCENESETTER (IRE)","Jim Boyle",48,-2,,,,,,,,,,
"BARRISTER (GB)",2023,COLT,"WITHOUT PAROLE (GB)","PAY COURT (GB)","Richard Hannon",70,new,,,,,,,,,,
