date,course,race_id,off,race_name,type,class,pattern,rating_band,age_band,sex_rest,dist,going,ran,num,pos,draw,ovr_btn,btn,horse,age,sex,wgt,hg,time,sp,jockey,trainer,prize,or,rpr,ts,sire,dam,damsire,owner,comment
2015-04-29,Pontefract,623031,5:20,Go Racing In Yorkshire Future Stars Apprentice Handicap (Round 3),Flat,Class 5,,0-70,4yo+,,5f,Good To Firm,11,4.0,9,7.0,5.25,2.25,Le Laitier (FR),4,G,9-5,,1:4.48,16/1,George Buckell,Scott Dixon,,68,57,29,Milk It Mick (GB),La Brigitte GB,Tobougg,Ms Yvonne Lowe P J Dixon Partners,In rear - outpaced over 2f out - some headway and switched right over 1f out - soon weakened (jockey said gelding was unsettled in the stalls and missed the break)(op 12/1)
2015-04-29,Pontefract,623031,5:20,Go Racing In Yorkshire Future Stars Apprentice Handicap (Round 3),Flat,Class 5,,0-70,4yo+,,5f,Good To Firm,11,3.0,3,2.0,0.5,0.3,Thatcherite (IRE),7,G,9-1,t,1:3.53,5/1,Robert Dodsworth,Tony Coyle,481,69,75,48,Verglas (IRE),Damiana (IRE),Thatching,Brian Kerr,Started slowly - in rear - headway on inside over 1f out - stayed on well last 100yds
2015-04-29,Pontefract,623031,5:20,Go Racing In Yorkshire Future Stars Apprentice Handicap (Round 3),Flat,Class 5,,0-70,4yo+,,5f,Good To Firm,11,6.0,4,9.0,1.25,0.75,Pabusar (GB),7,G,8-12,tp,1:3.68,11/1,Adam McLean,Heather Dalton,240.5,61,64,38,Oasis Dream (GB),Autumn Pearl GB,Orpen,Stephen Arnold,Tracked leaders - took keen hold - kept on same pace last 75yds
2015-04-29,Canterbury Park (AUS),625490,7:50,Tab Rewards Handicap (3yo+) (Turf),Flat,,,,3yo+,,1m,Good To Soft,12,13.0,12,4.0,18.25,3.5,Super Willie (AUS),3,G,8-10,b,1:39.14,7/1,Tommy Berry,Chris Waller,,–,–,–,Flying Spur (AUS),Anjiz Star (ARG),Anjiz,Hermitage Syndicate,
2015-04-29,Pontefract,623031,5:20,Go Racing In Yorkshire Future Stars Apprentice Handicap (Round 3),Flat,Class 5,,0-70,4yo+,,5f,Good To Firm,11,11.0,6,5.0,2.25,0.1,Fathom Five (IRE),11,G,8-4,,1:3.90,33/1,Kevin Lundie,Shaun Harris,,56,55,28,Fath (USA),Ambria (ITY),Final Straw,Nottinghamshire Racing,Took keen hold - headed over 1f out - kept on one pace(tchd 40/1)
2015-04-29,Pontefract,623030,4:45,coral.co.uk Handicap,Flat,Class 5,,0-75,3yo,,6f,Good To Firm,9,9.0,6,1.0,7.25,1.5,Vejovis (GB),3,G,8-10,p,1:17.30,9/1,Oisin Murphy,Stuart Williams,,64,54,29,Fastnet Rock (AUS),Violet (IRE),Mukaddamah,Stuart C Williams,Dwelt - headway to chase leaders 3f out - one pace over 1f out(op 12/1)
2015-04-29,Canterbury Park (AUS),625488,7:10,Schweppes Handicap (3yo+) (Turf),Flat,,,,3yo+,,6f,Good To Soft,9,11.0,6,1.0,2.75,0.3,GoodlookinRooster (AUS),5,G,8-7,p,1:16.56,50/1,Brenton Avdulla,Kevin Cassidy,235.6,–,–,–,Lion Heart (USA),Cousine (AUS),Anabaa,K J Cassidy Mrs L R Cassidy,
2015-04-29,Canterbury Park (AUS),625484,5:55,Tab.Com.Au Handicap (3yo+) (Turf),Flat,,,,3yo+,,1m1½f,Good To Soft,9,12.0,6,4.0,4.75,0.2,Ima Special Keeper (NZ),4,F,8-7,b,2:1.16,30/1,Jim Cassidy,Jim & Greg Lee,235.6,–,–,–,Librettist (USA),Keeper Special (NZ),Keeper,G J Lee G L Piggins Et Al,
2015-04-29,Canterbury Park (AUS),625488,7:10,Schweppes Handicap (3yo+) (Turf),Flat,,,,3yo+,,6f,Good To Soft,9,7.0,9,6.0,11,1.75,Igneous (AUS),5,G,8-13,eb,1:18.21,8/1,Larry Cassidy,Steele Ryan,235.6,–,–,–,Rock Of Cashel (IRE),Glamour Baby (AUS),Zeditave,Mrs L A Morton Mrs G M Ryan,
2015-04-29,Canterbury Park (AUS),625490,7:50,Tab Rewards Handicap (3yo+) (Turf),Flat,,,,3yo+,,1m,Good To Soft,12,10.0,1,12.0,0,0,Royal Adventure (AUS),4,F,8-6,p,1:35.49,4/1F,James Innes Jnr,Matthew A Smith,12054.97,–,–,–,Duke Of Marmalade (IRE),Quest For Success (AUS),Quest For Fame,R A Young R J Bateman Et Al,
2015-04-29,Canterbury Park (AUS),625490,7:50,Tab Rewards Handicap (3yo+) (Turf),Flat,,,,3yo+,,1m,Good To Soft,12,5.0,2,10.0,1.25,1.25,Redoutable Heart (AUS),3,G,9-3,tb,1:35.74,7/1,James McDonald,Chris Waller,4149.21,–,–,–,Redoutes Choice (AUS),Wiener (AUS),More Than Ready,R Shrimpton Mrs C Shrimpton Et Al,
2015-04-29,Canterbury Park (AUS),625488,7:10,Schweppes Handicap (3yo+) (Turf),Flat,,,,3yo+,,6f,Good To Soft,9,4.0,5,5.0,2.5,0.1,Invitations (AUS),3,G,9-1,b,1:16.53,17/5,James McDonald,J OShea,500,–,–,–,Street Cry (IRE),Come Hither (AUS),Redoutes Choice,Godolphin,Chased leading trio - hemmed in and nowhere to go 2f out - angled out with under 1 1/2f to run and pushed along without quickening - ridden entering final furlong - kept on but not pace to get on terms
2015-04-29,Canterbury Park (AUS),625488,7:10,Schweppes Handicap (3yo+) (Turf),Flat,,,,3yo+,,6f,Good To Soft,9,6.0,4,2.0,2.5,0.2,Ramesses (AUS),4,G,8-9,b,1:16.55,12/1,Winona Costin,Kevin Moses,986.91,–,–,–,Hussonet (USA),Stella Stargazer (NZ),Volksraad,P Sullivan Mrs T Sullivan Et Al,
2015-04-29,Canterbury Park (AUS),625490,7:50,Tab Rewards Handicap (3yo+) (Turf),Flat,,,,3yo+,,1m,Good To Soft,12,4.0,3,2.0,3.25,2,Adirondack (AUS),4,G,9-3,tb,1:36.14,5/1,Tye Angland,J OShea,2073.3,–,–,–,Lonhro (AUS),Up State GB,Sadlers Wells,Godolphin,Disputed 3rd on inner - pushed along to chase leader 2f out - 2 lengths 2nd and ridden approaching 1 1/2f out - soon no impression on leader - one pace final furlong
2015-04-29,Canterbury Park (AUS),625488,7:10,Schweppes Handicap (3yo+) (Turf),Flat,,,,3yo+,,6f,Good To Soft,9,10.0,8,9.0,9.25,5.75,Alavesa (AUS),4,F,8-7,,1:17.86,25/1,Kerrin McEvoy,Anthony Cummings,235.6,–,–,–,Danehill Dancer (IRE),Red Rioja (IRE),Kings Theatre,J Barton M Barton Et Al,
2015-04-29,Canterbury Park (AUS),625490,7:50,Tab Rewards Handicap (3yo+) (Turf),Flat,,,,3yo+,,1m,Good To Soft,12,1.0,6,7.0,5.25,1,Captain Scott (NZ),5,G,9-0,b,1:36.54,14/1,Claire Nutman,John Sargent,235.6,–,–,–,Elusive City (USA),Luna Tudor (AUS),Military Plume,L M Crimp,
