model,scope,scope_value,log_loss,brier,top1,top3,ece,market_rank_lift,n_races,n_runners
core_jurisdiction_aware_calibration_without_market,jurisdiction,HK,1.408609375371734,0.06067233840462947,0.4827586206896552,0.8275862068965517,0.016832204136094663,1.3103448275862069,29,319
core_jurisdiction_aware_calibration_without_market,jurisdiction,JPN,2.212743382430129,0.07408346699564201,1.0,1.0,0.0025665014894102906,2.0,1,12
core_jurisdiction_aware_calibration_without_market,year,2023,1.4005996298783305,0.07828278085396602,0.5957446808510638,0.851063829787234,0.05584862703469577,0.723404255319149,47,397
core_jurisdiction_aware_calibration_without_market,year,2024,1.4263482019932399,0.07247348664729694,0.5121951219512195,0.9024390243902439,0.05293222313512735,1.3414634146341464,41,373
core_jurisdiction_aware_calibration_without_market,year,2025,1.484643037940675,0.0750711771127917,0.4230769230769231,0.8461538461538461,0.0463977922812942,0.4230769230769231,26,244
core_market_aware_calibration_with_strict_isolation_guardrails,split,train,1.7379158475786716,0.06637537900530288,0.41509433962264153,0.7349056603773585,0.02361184445847244,0.5358490566037736,1060,11757
core_market_aware_calibration_with_strict_isolation_guardrails,split,validation,1.8412626374929073,0.06939502087324248,0.3575525812619503,0.6864244741873805,0.014072835818673126,0.4684512428298279,523,5804
core_market_aware_calibration_with_strict_isolation_guardrails,split,test,1.6079292593188261,0.08097594815229447,0.41228070175438597,0.7192982456140351,0.024501205827729612,0.24561403508771928,114,1014
core_market_aware_calibration_with_strict_isolation_guardrails,jurisdiction,FR,1.522573135858588,0.0866583609430459,0.42857142857142855,0.7619047619047619,0.03099441235963806,0.2261904761904762,84,683
core_market_aware_calibration_with_strict_isolation_guardrails,jurisdiction,HK,1.851601734565126,0.06936824847766115,0.3793103448275862,0.5862068965517241,0.026807753098859254,0.3103448275862069,29,319
core_market_aware_calibration_with_strict_isolation_guardrails,jurisdiction,JPN,1.7113418478361655,0.06612330316269543,0.0,1.0,0.1365627898331141,0.0,1,12
core_market_aware_calibration_with_strict_isolation_guardrails,year,2023,1.5306983501618576,0.0838785998724802,0.40425531914893614,0.7872340425531915,0.04109310928338463,0.23404255319148937,47,397
core_market_aware_calibration_with_strict_isolation_guardrails,year,2024,1.7393897867061234,0.08471234728061618,0.34146341463414637,0.6097560975609756,0.019045289765597113,0.2682926829268293,41,373
core_market_aware_calibration_with_strict_isolation_guardrails,year,2025,1.5402358403764551,0.07054140057943492,0.5384615384615384,0.7692307692307693,0.03363374238414399,0.23076923076923078,26,244
core_residual_confidence_dampening,split,train,1.5219050111943422,0.06036423496124645,0.6141509433962264,0.909433962264151,0.06396444811170658,1.5981132075471698,1060,11757
core_residual_confidence_dampening,split,validation,1.6740187301009082,0.06591003117978221,0.47609942638623326,0.8279158699808795,0.04596062288941429,1.3460803059273423,523,5804
core_residual_confidence_dampening,split,test,1.561108727544964,0.0795820044707107,0.543859649122807,0.868421052631579,0.06362647648050913,0.7543859649122807,114,1014
core_residual_confidence_dampening,jurisdiction,FR,1.5346338017288186,0.08700149629548874,0.5714285714285714,0.8809523809523809,0.06670610884715072,0.5952380952380952,84,683
core_residual_confidence_dampening,jurisdiction,HK,1.6145399396827245,0.0639120149590788,0.4827586206896552,0.8620689655172413,0.05942625331859661,1.3103448275862069,29,319
core_residual_confidence_dampening,jurisdiction,JPN,2.235497344106136,0.0738498159613068,0.0,0.0,0.009581082565269915,-2.0,1,12
core_residual_confidence_dampening,year,2023,1.4973243207418883,0.08167090697058499,0.6595744680851063,0.8936170212765957,0.06927247387861069,0.7872340425531915,47,397
core_residual_confidence_dampening,year,2024,1.6155060839617383,0.07985555477159041,0.5121951219512195,0.8780487804878049,0.060521857566519205,1.048780487804878,41,373
core_residual_confidence_dampening,year,2025,1.59063086241638,0.07576508416465237,0.38461538461538464,0.8076923076923077,0.062056567991259,0.23076923076923078,26,244
core_conservative_probability_shrinkage,split,train,1.5219050111943422,0.06036423496124645,0.6141509433962264,0.909433962264151,0.06396444811170658,1.5981132075471698,1060,11757
core_conservative_probability_shrinkage,split,validation,1.6740187301009082,0.06591003117978221,0.47609942638623326,0.8279158699808795,0.0459606228894143,1.3460803059273423,523,5804
core_conservative_probability_shrinkage,split,test,1.561108727544964,0.0795820044707107,0.543859649122807,0.868421052631579,0.06362647648050915,0.7543859649122807,114,1014
core_conservative_probability_shrinkage,jurisdiction,FR,1.5346338017288186,0.08700149629548874,0.5714285714285714,0.8809523809523809,0.06670610884715072,0.5952380952380952,84,683
core_conservative_probability_shrinkage,jurisdiction,HK,1.6145399396827245,0.0639120149590788,0.4827586206896552,0.8620689655172413,0.05942625331859662,1.3103448275862069,29,319
core_conservative_probability_shrinkage,jurisdiction,JPN,2.235497344106136,0.0738498159613068,0.0,0.0,0.009581082565269915,-2.0,1,12
core_conservative_probability_shrinkage,year,2023,1.4973243207418883,0.08167090697058499,0.6595744680851063,0.8936170212765957,0.06927247387861069,0.7872340425531915,47,397
core_conservative_probability_shrinkage,year,2024,1.6155060839617383,0.07985555477159041,0.5121951219512195,0.8780487804878049,0.06052185756651922,1.048780487804878,41,373
core_conservative_probability_shrinkage,year,2025,1.5906308624163796,0.07576508416465237,0.38461538461538464,0.8076923076923077,0.062056567991259,0.23076923076923078,26,244
